state,SA3_code,SA3_name,year_start,year_close,age,num_registered,num_fully_immunised,num_not_fully_immunised,percent_fully_immunised,Remoteness ,State,Latitude,Longitude
NSW,11504,Rouse Hill - McGraths Hill,2016,2017,1,479,457,22,95.4,Major Cities of Australia,New South Wales,-33.6212448,150.8930316
NSW,11601,Blacktown,2016,2017,1,2177,2043,134,93.8,Major Cities of Australia,New South Wales,-33.7690008,150.9085011
NSW,11602,Blacktown - North,2016,2017,1,1493,1422,71,95.2,Major Cities of Australia,New South Wales,-33.69875015,150.8610824
NSW,11603,Mount Druitt,2016,2017,1,1962,1808,154,92.2,Major Cities of Australia,New South Wales,-33.77475089,150.8388566
NSW,11701,Botany,2016,2017,1,626,580,46,92.7,Major Cities of Australia,New South Wales,-33.94541162,151.2001913
NSW,11702,Marrickville - Sydenham - Petersham,2016,2017,1,656,613,43,93.4,Major Cities of Australia,New South Wales,-33.91010694,151.1612797
NSW,11703,Sydney Inner City,2016,2017,1,2017,1853,164,91.9,Major Cities of Australia,New South Wales,-33.88910337,151.1996706
NSW,11801,Eastern Suburbs - North,2016,2017,1,1727,1602,125,92.8,Major Cities of Australia,New South Wales,-33.88235602,151.2555253
NSW,11802,Eastern Suburbs - South,2016,2017,1,1779,1622,157,91.2,Major Cities of Australia,New South Wales,-33.94348662,151.242153
NSW,11901,Bankstown,2016,2017,1,2803,2581,222,92.1,Major Cities of Australia,New South Wales,-33.92756159,151.0147829
NSW,11902,Canterbury,2016,2017,1,2149,1974,175,91.9,Major Cities of Australia,New South Wales,-33.92424691,151.0893054
NSW,11903,Hurstville,2016,2017,1,1514,1396,118,92.2,Major Cities of Australia,New South Wales,-33.9692086,151.0778173
NSW,11904,Kogarah - Rockdale,2016,2017,1,1894,1740,154,91.9,Major Cities of Australia,New South Wales,-33.95966632,151.1330925
NSW,12001,Canada Bay,2016,2017,1,1146,1088,58,94.9,Major Cities of Australia,New South Wales,-33.85336506,151.1149483
NSW,12002,Leichhardt,2016,2017,1,865,811,54,93.8,Major Cities of Australia,New South Wales,-33.87051537,151.1679398
NSW,12003,Strathfield - Burwood - Ashfield,2016,2017,1,1806,1663,143,92.1,Major Cities of Australia,New South Wales,-33.88577696,151.10569
NSW,12101,Chatswood - Lane Cove,2016,2017,1,1535,1436,99,93.6,Major Cities of Australia,New South Wales,-33.8071838,151.186878
NSW,12102,Hornsby,2016,2017,1,1044,980,64,93.9,Major Cities of Australia,New South Wales,-33.62194628,151.1496889
NSW,12103,Ku-ring-gai,2016,2017,1,1080,1004,76,93,Major Cities of Australia,New South Wales,-33.73471651,151.1509721
NSW,12104,North Sydney - Mosman,2016,2017,1,1237,1155,82,93.4,Major Cities of Australia,New South Wales,-33.83128793,151.2268786
