postcode,tax_individuals,medicare_levy_surcharge_num,govt_allow_payments_num,govt_pensions_allow_num,private_health_num
2156,"8,694",87,227,422,"7,238"
2157,"2,344",23,68,83,"1,784"
2158,"5,653",52,187,250,"4,617"
2159,"3,243",36,110,170,"2,579"
2160,"17,577",228,"1,813",693,"6,508"
2161,"13,431",143,"1,500",546,"4,500"
2162,"8,287",96,894,427,"3,407"
2163,"3,549",35,526,165,935
2164,"9,514",125,874,459,"3,970"
2165,"16,704",201,"2,307",823,"5,117"
2166,"23,453",307,"3,559","1,037","6,885"
2167,"5,293",78,362,189,"2,320"
2168,"18,773",231,"2,112",702,"5,989"
2170,"49,825",632,"4,161","2,108","20,525"
2171,"19,626",331,"1,069",536,"9,744"
2172,"1,599",29,34,47,"1,127"
2173,"8,424",104,365,190,"4,846"
2174,"1,356",31,59,13,672
2175,"1,085",22,43,35,713
2176,"23,994",299,"2,091","1,081","11,422"
2177,"7,572",118,864,278,"2,806"
2178,"2,135",25,101,77,"1,289"
2179,"3,055",48,183,106,"1,618"
2190,"11,114",114,"1,093",505,"4,517"
2191,"3,197",51,193,143,"1,816"
2192,"6,734",74,583,265,"2,581"
2193,"9,039",142,496,356,"5,102"
2194,"13,119",123,"1,070",383,"4,258"
2195,"12,138",99,"1,380",342,"2,480"
2196,"15,030",159,"1,406",666,"5,953"
2197,"4,029",39,356,194,"1,778"
2198,"4,425",52,297,260,"2,454"
2199,"7,981",88,812,407,"3,170"
2200,"20,077",228,"2,155",855,"7,037"
2203,"8,392",163,598,281,"5,063"
2204,"15,645",336,"1,195",417,"8,523"
2205,"11,853",191,615,268,"5,466"
2206,"11,087",186,493,490,"6,963"
2207,"15,419",184,956,692,"8,965"
2208,"7,166",106,393,371,"4,320"
2209,"9,022",81,568,450,"5,182"
2210,"16,670",183,965,859,"10,172"
2211,"9,771",91,536,489,"5,879"
2212,"8,647",99,529,416,"4,899"
2213,"12,275",156,567,546,"8,012"
2214,"2,343",15,119,136,"1,572"
2216,"17,316",190,915,611,"7,707"
2217,"16,783",206,756,633,"8,883"
2218,"9,907",118,582,375,"4,973"
2219,"7,898",119,307,444,"5,418"
2220,"18,954",149,968,522,"9,434"
2221,"10,254",125,390,438,"7,473"
2222,"7,739",84,408,307,"4,336"
2223,"13,223",112,515,546,"9,422"
2224,"8,633",102,308,500,"6,420"
2225,"3,475",31,88,143,"2,854"
2226,"7,552",89,274,350,"5,787"
2227,"8,975",77,289,445,"7,050"
2228,"11,103",127,503,620,"7,723"
2229,"18,050",200,646,"1,007","13,904"
2230,"19,686",290,719,777,"14,648"
2231,"1,345",29,59,52,891
2232,"20,079",213,866,"1,095","14,668"
2233,"18,012",145,576,915,"13,865"
2234,"20,332",187,673,740,"16,013"
2250,"37,838",405,"2,884","2,547","23,014"
2251,"18,567",181,"1,138","1,384","12,449"
2256,"7,918",98,707,667,"4,301"
2257,"15,488",162,"1,406","1,322","8,538"
2258,"3,136",45,237,138,"2,033"
2259,"29,681",368,"2,514","1,942","15,339"
2260,"14,597",193,790,826,"10,506"
2261,"30,177",317,"2,707","2,071","14,882"
2262,"9,682",95,"1,137",724,"3,845"
2263,"10,941",132,"1,292",887,"4,740"
2264,"7,337",77,590,659,"4,406"
2265,"2,938",19,260,205,"1,873"
2267,"1,565",11,106,152,"1,036"
2278,"1,456",10,108,70,934
2280,"15,094",143,951,934,"10,550"
2281,"7,424",78,559,494,"4,630"
2282,"8,921",73,473,573,"6,720"
2283,"12,624",119,958,954,"8,067"
2284,"5,602",44,513,376,"3,413"
2285,"16,702",166,"1,239",837,"10,780"
2286,"2,086",27,169,129,"1,220"
2287,"19,541",180,"1,745","1,069","12,295"
2289,"11,330",110,762,614,"8,236"
2290,"18,987",174,"1,407","1,090","13,185"
2291,"8,878",91,573,354,"7,061"
2292,"1,451",18,189,56,905
2293,"1,661",19,165,71,"1,086"
2294,"1,143",16,155,51,686
2295,"3,431",51,251,249,"2,268"
2296,"1,107",22,157,42,625
2297,900,8,120,45,499
2298,"4,695",46,612,237,"2,744"
2299,"5,659",54,690,276,"3,418"
2300,"7,351",150,693,240,"5,194"
2302,393,8,45,18,231
2303,"5,216",59,505,242,"3,698"
2304,"8,005",93,"1,038",375,"4,505"
2305,"7,486",68,528,360,"5,613"
2306,887,4,207,82,245
2307,"1,840",17,256,113,906
2308,136,2,72,0,52
2311,499,1,27,33,387
2312,753,11,104,60,357
2315,"8,081",58,678,813,"5,056"
2316,"3,149",50,298,228,"1,859"
2317,"3,474",20,278,401,"2,237"
2318,"6,770",78,432,390,"4,281"
2319,"3,074",21,316,283,"1,569"
2320,"18,472",188,"1,564","1,013","12,347"
2321,"8,091",69,561,403,"5,464"
2322,"10,097",86,839,563,"6,102"
2323,"13,777",121,"1,143",801,"8,930"
2324,"11,768",113,"1,198","1,051","6,753"
2325,"12,663",132,"1,404",841,"7,128"
2326,"3,345",31,391,213,"1,758"
2327,"3,496",32,428,245,"1,718"
2328,"1,306",18,95,87,901
2329,"1,047",18,85,89,670
2330,"11,331",198,732,548,"8,215"
2333,"6,903",112,640,363,"4,396"
2334,"1,429",22,141,80,842
2335,"3,421",42,184,164,"2,496"
2336,"1,376",19,91,77,902
2337,"4,607",53,278,239,"3,001"
2338,675,0,55,71,404
2339,418,3,29,26,290
2340,"27,364",281,"2,630","2,004","15,848"
2341,642,6,96,55,326
2342,272,0,21,21,174
2343,"2,669",23,210,212,"1,686"
2344,445,4,40,28,312
2345,449,2,28,47,288
2346,"1,391",24,151,138,732
2347,853,14,113,100,503
2350,"13,853",157,"1,501",879,"8,575"
2351,72,2,21,2,36
2352,"1,454",12,129,120,864
2353,553,7,43,50,327
2354,"2,163",20,206,164,"1,489"
2355,315,4,40,25,196
2356,60,0,3,9,28
2357,"1,971",27,205,200,"1,229"
2358,"2,099",24,232,186,"1,246"
2359,373,6,55,34,222
2360,"7,268",67,794,719,"4,169"
2361,385,3,74,34,221
2365,"1,945",17,196,152,"1,197"
2369,332,2,60,26,128
2370,"3,708",28,519,392,"2,044"
2371,530,6,87,71,270
2372,"2,478",8,301,330,"1,668"
2379,209,4,37,6,159
2380,"5,608",90,469,378,"3,425"
2381,612,10,73,26,354
2382,678,14,76,59,405
2386,216,1,18,9,151
2387,135,0,16,2,94
2388,"1,389",9,161,111,829
2390,"4,801",55,411,325,"3,129"
2395,261,1,38,37,129
2396,397,4,49,34,244
2397,246,1,24,14,164
2398,138,1,9,6,102
2399,334,4,26,13,194
2400,"5,489",78,499,336,"3,198"
2401,169,1,16,16,106
2402,897,4,85,89,521
2403,359,4,70,35,233
2404,844,5,107,120,538
2405,290,4,15,9,207
2406,460,2,49,32,274
2408,232,5,12,6,163
2409,284,1,53,16,148
2410,107,2,12,6,75
2411,68,0,3,4,43
2415,186,0,17,7,116
2420,"2,080",23,159,159,"1,385"
2421,"1,076",10,54,63,833
2422,"2,704",14,268,298,"1,662"
2423,"1,427",11,157,130,813
2424,186,5,19,16,85
2425,953,11,59,52,639
2426,315,3,45,17,123
2427,"1,346",16,151,177,735
2428,"11,302",98,"1,317","1,337","6,407"
2429,"4,710",31,569,401,"2,316"
2430,"15,966",129,"1,838","1,486","8,270"
2431,"2,405",20,228,281,"1,276"
2439,"1,368",16,140,118,717
2440,"9,727",107,"1,291","1,006","4,222"
2441,"2,450",33,285,183,"1,227"
2443,"4,135",40,444,540,"2,074"
2444,"24,975",279,"2,496","2,439","14,134"
2445,"3,584",45,309,331,"2,053"
2446,"6,869",87,703,596,"3,643"
2447,"3,582",31,421,375,"1,865"
2448,"3,924",54,539,431,"1,902"
2449,960,7,165,129,405
2450,"24,020",293,"2,637","1,985","13,249"
2452,"7,737",82,939,681,"4,049"
2453,"1,517",17,165,152,927
2454,"4,041",44,524,305,"2,123"
2455,"1,545",13,164,158,856
2456,"8,569",96,948,605,"4,020"
2460,"13,800",148,"1,738","1,241","7,217"
2462,"1,039",13,138,93,525
2463,"3,659",35,438,325,"1,883"
2464,"3,528",29,374,385,"1,998"
2465,187,0,19,20,94
2466,682,2,82,94,328
2469,"1,727",15,245,173,788
2470,"7,163",44,853,680,"3,787"
2471,"1,173",10,131,99,602
2472,"1,053",13,140,82,557
2473,"1,455",14,171,153,888
2474,"3,097",22,383,277,"1,618"
2475,174,0,20,16,100
2476,350,6,43,34,213
2477,"6,874",74,617,610,"4,313"
2478,"16,612",186,"1,560","1,410","9,866"
2479,"3,201",22,293,158,"1,950"
2480,"23,925",221,"2,841","1,790","13,599"
2481,"8,676",113,950,368,"4,119"
2482,"3,817",35,607,267,"1,765"
2483,"6,180",83,911,440,"2,883"
2484,"9,859",80,"1,147",823,"5,077"
2485,"7,190",65,825,747,"3,551"
2486,"16,425",159,"1,580","1,535","8,872"
2487,"7,441",88,601,476,"4,717"
2488,"1,973",21,244,111,"1,077"
2489,"3,827",41,372,308,"2,240"
2490,415,8,40,24,247
2500,"21,121",330,"2,266","1,001","12,609"
2502,"4,960",52,697,351,"1,996"
2505,"2,407",32,261,138,"1,237"
2506,"3,554",33,399,200,"1,568"
2508,"5,509",80,193,221,"3,973"
2515,"6,889",144,372,342,"5,038"
2516,"3,584",70,189,135,"2,596"
2517,"7,364",83,448,392,"5,042"
2518,"10,137",96,885,585,"6,104"
2519,"9,099",109,775,524,"5,900"
2525,"6,541",58,388,380,"4,476"
2526,"8,839",83,582,386,"5,803"
2527,"11,620",123,834,589,"6,421"
2528,"10,990",123,"1,165",777,"5,053"
2529,"14,485",198,999,674,"8,744"
2530,"17,015",179,"1,277","1,029","9,309"
2533,"9,578",115,498,612,"6,634"
2534,"3,337",28,171,200,"2,295"
2535,"4,200",45,196,368,"2,850"
2536,"9,151",91,978,"1,029","4,539"
2537,"6,427",56,550,670,"3,343"
2538,"1,341",9,107,114,807
2539,"9,445",82,"1,039",941,"4,723"
2540,"21,813",235,"2,065","2,003","11,150"
2541,"12,879",127,"1,470","1,076","5,947"
2545,588,10,60,55,310
2546,"4,754",43,469,606,"2,755"
2548,"4,547",55,362,565,"2,753"
2549,"2,157",27,174,193,"1,213"
2550,"9,102",114,909,729,"4,994"
2551,"1,892",31,209,194,"1,016"
2555,140,3,10,12,47
2556,"1,426",25,62,44,787
2557,"4,737",58,211,134,"2,710"
2558,"6,370",71,469,236,"2,726"
2559,897,6,172,68,122
2560,"39,858",499,"3,413","2,329","17,103"
2563,172,3,15,7,82
2564,"6,561",64,744,325,"2,042"
2565,"11,131",146,769,476,"4,944"
2566,"14,438",157,"1,115",563,"5,628"
2567,"22,299",320,"1,016",761,"13,136"
2568,691,7,21,52,496
2569,835,24,34,29,549
2570,"23,394",374,939,997,"15,032"
2571,"7,030",140,266,300,"4,379"
2572,"2,379",37,142,111,"1,367"
2573,"2,635",30,199,164,"1,221"
2574,"3,210",56,175,176,"1,723"
2575,"8,979",86,490,612,"5,251"
2576,"8,347",67,323,808,"6,270"
2577,"8,785",88,477,654,"5,522"
2578,"1,512",11,82,184,"1,031"
2579,"2,246",21,138,143,"1,387"
2580,"15,580",264,"1,173","1,026","8,597"
2581,"1,239",18,54,73,848
2582,"7,492",138,274,402,"5,338"
2583,"2,510",28,166,200,"1,620"
2584,312,1,22,31,196
2585,146,2,9,6,110
2586,"1,388",15,97,127,921
2587,"1,466",7,118,135,908
2588,224,2,13,12,140
2590,"3,768",41,264,310,"2,237"
2594,"6,016",39,545,438,"3,600"
2618,877,15,25,43,707
2619,"6,055",144,127,157,"4,564"
2620,"24,035",601,"1,149","1,042","14,260"
2621,"3,859",88,106,156,"2,878"
2622,"2,160",32,129,164,"1,408"
2623,343,2,16,18,178
2624,55,0,3,2,25
2625,192,0,10,1,125
2626,296,2,14,23,194
2627,"2,806",7,165,113,"1,999"
2628,"1,036",7,69,80,720
2629,287,3,26,37,169
2630,"4,910",51,416,418,"3,126"
2631,338,6,23,18,210
2632,"1,079",28,88,74,511
2633,207,5,14,24,98
2640,"21,079",199,"1,808","1,310","14,371"
2641,"8,015",30,937,674,"4,539"
2642,"2,944",16,188,176,"2,144"
2643,"1,501",6,132,132,888
2644,"1,397",12,98,127,"1,017"
2645,228,4,14,18,151
2646,"3,889",23,284,290,"2,295"
2647,"1,207",12,102,115,591
2648,"1,213",20,153,113,685
2650,"32,602",283,"2,511","2,006","20,102"
2651,"1,108",13,85,55,478
2652,"2,823",22,188,179,"1,889"
2653,"1,354",20,92,124,886
2655,786,6,46,50,531
2656,710,10,54,54,529
2658,710,1,66,59,510
2659,524,3,28,43,410
2660,850,7,65,63,558
2661,133,5,0,1,39
2663,"2,223",11,155,169,"1,286"
2665,"1,203",6,91,90,845
2666,"3,035",24,209,222,"2,022"
2668,221,4,24,22,148
2669,952,8,57,73,691
2671,"2,196",21,143,175,"1,415"
2672,807,8,75,62,484
2675,993,7,69,58,577
2680,"14,428",114,"1,195",785,"8,256"
2681,957,3,67,52,638
2700,"2,550",23,228,220,"1,411"
2701,"1,294",12,89,84,859
2702,388,3,37,47,219
2703,406,3,56,38,214
2705,"5,684",53,512,385,"3,281"
2706,627,6,72,55,309
2707,882,9,50,51,676
2710,"5,849",50,502,535,"3,690"
2711,"1,923",18,166,131,"1,080"
2712,742,8,51,89,482
2713,"1,595",11,152,136,"1,078"
2714,"1,391",10,111,155,796
2715,795,3,44,45,428
2716,706,5,53,44,482
2717,590,8,66,70,322
2720,"4,346",59,315,316,"2,710"
2721,115,4,15,9,84
2722,"1,740",19,151,126,"1,029"
2725,168,1,16,15,101
2726,167,0,8,11,118
2727,218,0,13,11,162
2729,912,8,72,47,631
2730,812,8,62,61,411
2731,"3,460",44,268,302,"1,873"
2732,"1,034",8,78,103,642
2733,338,2,23,26,200
2734,118,1,9,8,77
2735,176,0,24,14,54
2736,200,0,12,20,97
2737,436,8,30,31,214
2738,889,10,44,43,626
2739,671,7,76,47,373
2745,"17,448",304,733,598,"10,855"
2747,"23,029",360,"1,750","1,104","10,374"
2748,"1,377",24,47,58,945
2749,"9,706",178,550,381,"5,122"
2750,"24,711",339,"1,735","1,508","13,246"
2752,"3,007",38,106,112,"1,753"
2753,"9,883",163,640,492,"5,353"
2754,"3,308",50,223,223,"1,880"
2756,"20,196",287,"1,115",899,"11,493"
2757,564,8,28,38,382
2758,"5,466",103,176,240,"3,679"
2759,"16,119",227,900,594,"7,800"
2760,"17,016",230,"1,641",915,"5,620"
2761,"17,265",212,"1,276",560,"6,626"
2762,"2,993",28,128,77,"1,861"
2763,"18,004",221,944,568,"10,195"
2765,"8,825",103,491,419,"5,286"
2766,"8,328",93,632,308,"2,983"
2767,"12,350",157,903,405,"5,214"
2768,"15,783",184,715,388,"10,174"
2769,"6,574",129,200,120,"4,484"
2770,"26,194",290,"3,389","1,459","6,167"
2773,"3,757",52,166,216,"2,846"
2774,"7,807",110,426,441,"5,362"
2775,798,10,42,53,452
2776,"2,482",48,126,153,"1,597"
2777,"10,537",155,576,681,"7,144"
2778,"1,480",36,104,83,927
2779,"2,780",47,230,193,"1,530"
2780,"7,328",110,712,630,"3,609"
2782,"3,402",70,215,331,"2,070"
2783,"1,527",19,135,104,768
2784,719,8,52,63,409
2785,"2,639",36,197,236,"1,617"
2786,650,12,68,52,360
2787,"2,382",40,160,190,"1,328"
2790,"7,299",105,679,556,"4,635"
2791,175,3,12,13,108
2792,190,0,11,14,117
2793,454,9,55,39,266
2794,"5,475",50,558,554,"3,010"
2795,"22,232",384,"1,902","1,414","13,132"
2797,234,1,18,19,140
2798,"1,203",19,48,70,900
2799,"2,123",32,194,139,"1,201"
2800,"24,534",317,"1,934","1,554","14,837"
2803,152,1,13,9,103
2804,"1,333",11,113,106,833
2805,210,3,12,15,122
2806,464,10,34,49,298
2807,176,0,28,12,78
2808,56,0,7,6,29
2809,116,2,22,8,72
2810,"1,636",14,127,171,"1,098"
2818,359,5,26,22,242
2820,"3,067",43,392,313,"1,483"
2821,"2,521",25,224,225,"1,592"
2823,777,1,76,61,472
2824,"1,221",8,104,70,843
2825,"1,341",23,120,81,781
2826,94,1,11,3,77
2827,"1,853",21,169,163,"1,049"
2828,372,4,38,28,226
2829,"1,455",16,153,79,862
2830,"22,813",284,"1,767","1,505","13,606"
2831,"1,490",11,133,111,979
2832,"1,228",6,215,100,612
2833,238,4,49,20,148
2834,842,11,169,102,382
2835,"2,209",66,128,99,"1,502"
2836,303,2,50,18,127
2839,459,9,72,31,236
2840,"1,313",31,136,90,748
2842,291,3,40,31,167
2843,692,2,67,50,408
2844,628,5,50,55,431
2845,"1,019",12,106,67,628
2846,130,1,23,13,78
2847,"1,070",27,131,85,636
2848,528,3,97,52,243
2849,782,7,58,85,510
2850,"9,362",148,802,632,"5,932"
2852,"1,652",35,148,131,996
2864,465,5,29,37,297
2865,475,4,31,34,283
2866,"1,629",22,96,116,"1,022"
2867,322,3,21,29,206
2868,321,2,25,16,208
2869,698,4,94,65,362
2870,"6,243",80,572,410,"3,710"
2871,"4,782",62,422,351,"2,797"
2873,375,3,28,18,265
2874,248,0,28,13,167
2875,484,2,57,45,289
2876,251,3,28,19,172
2877,"1,978",14,186,144,"1,004"
2878,180,6,8,5,122
2879,215,3,31,20,84
2880,"8,794",162,979,595,"4,926"
2898,297,2,14,22,161
2899,224,3,2,5,78
NSW other,"9,445",152,434,496,"5,141"
800,"5,464",200,186,49,"2,098"
801,851,28,20,21,616
804,197,6,7,5,144
810,"21,128",605,"1,235",662,"11,789"
811,418,4,12,26,313
812,"11,509",296,687,443,"6,793"
813,139,6,4,8,101
814,225,6,10,9,164
820,"13,252",445,578,247,"7,844"
821,616,19,19,21,409
822,"5,636",111,"1,531",236,"1,539"
828,733,21,53,19,400
829,248,5,10,3,56
830,"11,179",354,752,356,"6,005"
831,"1,118",36,43,31,768
832,"8,969",330,400,230,"5,271"
834,410,17,18,7,288
835,"3,312",102,135,114,"2,232"
836,"4,791",154,224,156,"2,953"
837,620,20,39,35,331
838,471,26,42,11,281
839,770,26,36,39,444
840,152,4,15,13,79
841,319,18,23,15,161
845,389,8,37,24,179
846,217,9,28,17,98
847,151,2,26,13,56
850,"3,814",93,369,139,"1,700"
851,"1,155",37,66,31,625
852,"1,763",41,529,87,375
853,453,4,3,1,149
854,433,2,128,23,91
860,940,51,98,39,315
861,601,27,112,25,166
862,243,5,53,13,62
870,"13,836",457,"1,056",433,"6,416"
871,"1,898",76,102,83,928
872,"3,677",79,"1,198",157,689
880,786,31,116,18,343
881,"1,778",67,156,31,917
885,587,42,34,6,396
886,798,17,74,14,408
NT other,639,19,76,30,311
Overseas or unknown,"148,643","1,950",874,560,"22,588"
4000,"12,657",216,601,154,"5,510"
4005,"12,214",320,741,253,"8,617"
4006,"10,822",199,948,124,"5,948"
4007,"8,763",150,455,230,"6,368"
4008,239,6,21,10,116
