"postcode","total_tax","num_individuals","mean_tax","year"
2212,438846854,8406,52207,"2015"
2213,685744865,12023,57037,"2015"
2214,128983749,2350,54887,"2015"
2216,832669369,16831,49473,"2015"
2217,887367770,16255,54591,"2015"
2218,464846936,9479,49040,"2015"
2219,515342198,7806,66019,"2015"
2220,833437647,17926,46494,"2015"
2221,698374702,10026,69657,"2015"
2222,396845717,7562,52479,"2015"
2223,855369437,13101,65291,"2015"
2224,559361049,8513,65707,"2015"
2225,256548760,3418,75059,"2015"
2226,501461841,7551,66410,"2015"
2227,586145643,8888,65948,"2015"
2228,685176852,10987,62363,"2015"
2229,1246606952,17939,69492,"2015"
2230,1499320989,19534,76755,"2015"
2231,82353445,1332,61827,"2015"
2232,1188395448,19697,60334,"2015"
2233,1045709295,18021,58028,"2015"
2234,1291882338,20232,63854,"2015"
2250,1965007751,37373,52579,"2015"
2251,974685856,18241,53434,"2015"
2256,382571372,7722,49544,"2015"
2257,733902056,15089,48639,"2015"
2258,177155443,3140,56419,"2015"
2259,1412338962,28671,49261,"2015"
2260,869195294,14328,60665,"2015"
2261,1458590953,29316,49755,"2015"
2262,424147570,9341,45408,"2015"
2263,472775024,10601,44598,"2015"
2264,337938688,7048,47949,"2015"
2265,140137973,2814,49801,"2015"
2267,79779591,1525,52315,"2015"
2278,74929474,1473,50869,"2015"
2280,828719689,14822,55912,"2015"
2281,377826898,7180,52623,"2015"
2282,517300422,8712,59378,"2015"
2283,661517170,12365,53500,"2015"
2284,278312197,5532,50310,"2015"
2285,843079768,16072,52457,"2015"
2286,97245978,1992,48819,"2015"
2287,996442817,18970,52528,"2015"
2289,629631765,11183,56303,"2015"
2290,1032688810,18664,55331,"2015"
2291,669749486,8835,75807,"2015"
2292,75030891,1392,53902,"2015"
2293,93921739,1691,55543,"2015"
2294,60686326,1121,54136,"2015"
2295,178573774,3201,55787,"2015"
2296,56462552,1077,52426,"2015"
2297,44866503,877,51160,"2015"
2298,227328129,4566,49788,"2015"
2299,284161486,5551,51192,"2015"
2300,566405105,7194,78733,"2015"
2302,19083130,335,56965,"2015"
2303,326441920,5193,62862,"2015"
2304,385881399,7821,49340,"2015"
2305,467707592,7374,63427,"2015"
2306,34472864,899,38346,"2015"
2307,75466893,1755,43002,"2015"
2308,3193382,116,27530,"2015"
2309,3709080,65,57063,"2015"
2311,20893238,497,42039,"2015"
2312,26658109,715,37285,"2015"
2315,390990875,7897,49512,"2015"
2316,153033779,3078,49719,"2015"
2317,160161695,3354,47753,"2015"
2318,346840652,6508,53295,"2015"
2319,135679364,2937,46197,"2015"
2320,1048629370,17748,59085,"2015"
2321,447474193,7700,58114,"2015"
2322,500320555,9549,52396,"2015"
2323,736732537,13519,54497,"2015"
2324,547052822,11587,47213,"2015"
2325,640429170,12367,51786,"2015"
2326,160550527,3262,49219,"2015"
2327,158236699,3393,46637,"2015"
2328,74513952,1307,57012,"2015"
2329,47720839,1048,45536,"2015"
2330,771636290,11302,68275,"2015"
2333,455769312,6962,65466,"2015"
2334,76968656,1357,56720,"2015"
2335,210756449,3317,63539,"2015"
2336,85724175,1398,61320,"2015"
2337,347542781,4738,73353,"2015"
2338,29908275,694,43096,"2015"
2339,17180367,425,40425,"2015"
2340,1277448976,26739,47775,"2015"
2341,26516012,627,42291,"2015"
2342,10827310,266,40705,"2015"
2343,115937095,2632,44050,"2015"
2344,17166322,434,39554,"2015"
2345,18634520,453,41136,"2015"
2346,56230664,1414,39768,"2015"
2347,31116147,822,37855,"2015"
2350,664302309,13650,48667,"2015"
2351,3221605,80,40271,"2015"
2352,64772793,1456,44487,"2015"
2353,22847499,527,43354,"2015"
2354,81820767,2183,37481,"2015"
2355,10853498,301,36059,"2015"
2356,1982919,71,27929,"2015"
2357,86527472,1996,43351,"2015"
2358,84786712,2092,40530,"2015"
2359,11817910,359,32919,"2015"
2360,296874064,7078,41944,"2015"
2361,10387482,366,28382,"2015"
2365,69129732,1940,35634,"2015"
2369,12447430,329,37835,"2015"
2370,135525055,3680,36828,"2015"
2371,15222910,540,28191,"2015"
2372,83820750,2456,34129,"2015"
2379,8782819,204,43054,"2015"
2380,294280039,5558,52948,"2015"
2381,29158547,612,47645,"2015"
2382,32640830,674,48429,"2015"
2386,4298598,208,20667,"2015"
2387,-1165815,132,-8831,"2015"
2388,60086993,1448,41497,"2015"
2390,258899786,4813,53792,"2015"
2395,8609100,260,33112,"2015"
2396,15726702,418,37624,"2015"
2397,11549844,258,44767,"2015"
2398,5802920,136,42669,"2015"
2399,12952516,330,39251,"2015"
2400,292535739,5512,53073,"2015"
2401,5265563,170,30974,"2015"
2402,35042375,887,39507,"2015"
2403,9147342,339,26984,"2015"
2404,28418948,857,33161,"2015"
2405,10570551,286,36960,"2015"
2406,18344529,451,40676,"2015"
2408,11413194,228,50058,"2015"
2409,15862545,287,55271,"2015"
2410,4536369,115,39447,"2015"
2411,2538927,66,38469,"2015"
2415,7273663,179,40635,"2015"
2420,88296393,2046,43156,"2015"
2421,58496229,1065,54927,"2015"
2422,105167630,2665,39463,"2015"
2423,55458395,1456,38090,"2015"
2424,6339412,201,31540,"2015"
2425,45932307,944,48658,"2015"
2426,11705979,306,38255,"2015"
2427,54529948,1278,42669,"2015"
2428,463509122,10988,42184,"2015"
2429,177543138,4704,37744,"2015"
2430,657738285,15516,42391,"2015"
2431,94204764,2339,40276,"2015"
2439,50472724,1224,41236,"2015"
2440,382084318,9634,39660,"2015"
2441,101941437,2475,41189,"2015"
2443,156034748,4038,38642,"2015"
