postcode,tax_individuals,medicare_levy_surcharge_num,govt_allow_payments_num,govt_pensions_allow_num,private_health_num
2600,"5,592 ",113 ,146 ,169 ,"4,532 "
2601,"2,792 ",73 ,194 ,50 ,"1,587 "
2602,"19,096 ",427 ,"1,196 ",904 ,"13,055 "
2603,"6,305 ",124 ,241 ,155 ,"5,016 "
2604,"7,464 ",188 ,290 ,240 ,"5,416 "
2605,"7,384 ",136 ,208 ,450 ,"5,761 "
2606,"6,119 ",111 ,275 ,377 ,"3,993 "
2607,"9,132 ",164 ,316 ,601 ,"6,878 "
2609,629 ,15 ,47 ,32 ,325 
2611,"16,330 ",247 ,580 ,"1,165 ","12,350 "
2612,"9,728 ",209 ,623 ,195 ,"6,382 "
2614,"12,212 ",187 ,571 ,842 ,"8,688 "
2615,"26,897 ",372 ,"1,423 ","1,582 ","17,441 "
2617,"19,761 ",280 ,"1,220 ",846 ,"12,868 "
2900,"1,174 ",28 ,48 ,78 ,736 
2902,"9,284 ",141 ,438 ,512 ,"6,480 "
2903,"5,949 ",87 ,250 ,344 ,"4,089 "
2904,"8,574 ",137 ,294 ,474 ,"6,499 "
2905,"18,039 ",255 ,787 ,763 ,"11,493 "
2906,"11,021 ",161 ,418 ,426 ,"7,194 "
2911,"2,724 ",49 ,75 ,45 ,"1,760 "
2912,"3,703 ",62 ,198 ,86 ,"2,075 "
2913,"20,718 ",296 ,914 ,643 ,"13,514 "
2914,"13,627 ",241 ,558 ,286 ,"8,939 "
ACT other,991 ,25 ,50 ,35 ,518 
NA,"105,002 ","1,187 ","5,064 ","1,916 ","24,950 "
2000,"36,185 ",364 ,373 ,149 ,"7,707 "
2006,83 ,2 ,4 ,2 ,50 
2007,"4,769 ",56 ,217 ,41 ,"1,759 "
2008,"5,607 ",102 ,406 ,40 ,"2,493 "
2009,"9,726 ",225 ,273 ,133 ,"5,561 "
2010,"20,287 ",593 ,966 ,232 ,"11,236 "
2011,"14,945 ",459 ,587 ,301 ,"8,681 "
2015,"7,254 ",165 ,330 ,96 ,"4,800 "
2016,"8,281 ",194 ,605 ,158 ,"4,694 "
2017,"12,727 ",315 ,635 ,173 ,"6,765 "
2018,"8,727 ",109 ,525 ,277 ,"4,547 "
2019,"6,159 ",77 ,289 ,203 ,"3,752 "
2020,"8,972 ",111 ,389 ,226 ,"4,584 "
2021,"10,689 ",296 ,423 ,190 ,"7,877 "
2022,"9,039 ",185 ,300 ,259 ,"5,531 "
2023,"7,159 ",133 ,202 ,124 ,"5,697 "
2024,"7,381 ",196 ,284 ,239 ,"5,386 "
2025,"5,337 ",107 ,173 ,152 ,"4,271 "
2026,"23,617 ",722 ,853 ,535 ,"14,657 "
2027,"6,109 ",128 ,148 ,154 ,"4,892 "
2028,"3,492 ",85 ,88 ,81 ,"2,719 "
2029,"6,946 ",109 ,243 ,240 ,"5,485 "
2030,"9,786 ",149 ,277 ,225 ,"8,173 "
2031,"23,078 ",493 ,897 ,646 ,"15,743 "
2032,"8,408 ",84 ,448 ,283 ,"4,900 "
2033,"7,141 ",114 ,431 ,168 ,"4,435 "
2034,"14,017 ",347 ,585 ,380 ,"9,474 "
2035,"20,950 ",268 ,893 ,847 ,"13,818 "
2036,"16,217 ",231 ,858 ,756 ,"9,794 "
2037,"9,525 ",215 ,666 ,214 ,"5,635 "
2038,"5,961 ",125 ,305 ,139 ,"4,347 "
2039,"5,751 ",126 ,169 ,118 ,"4,382 "
2040,"13,200 ",262 ,718 ,357 ,"9,389 "
2041,"10,905 ",252 ,343 ,259 ,"8,636 "
2042,"12,639 ",326 ,"1,119 ",224 ,"7,522 "
2043,"5,415 ",151 ,248 ,64 ,"3,731 "
2044,"5,038 ",121 ,377 ,111 ,"2,826 "
2045,"4,044 ",47 ,157 ,139 ,"3,065 "
2046,"16,265 ",208 ,568 ,714 ,"12,366 "
2047,"7,678 ",133 ,247 ,269 ,"6,032 "
2048,"5,021 ",112 ,373 ,133 ,"3,279 "
2049,"6,790 ",139 ,544 ,205 ,"4,194 "
2050,"5,409 ",139 ,363 ,68 ,"3,551 "
2052,156 ,1 ,34 ,2 ,64 
2060,"10,414 ",274 ,310 ,262 ,"7,554 "
2061,"4,405 ",148 ,110 ,70 ,"3,329 "
2062,"4,759 ",67 ,151 ,127 ,"3,842 "
2063,"4,260 ",65 ,111 ,115 ,"3,710 "
2064,"6,119 ",74 ,230 ,156 ,"4,326 "
2065,"20,803 ",396 ,572 ,515 ,"15,921 "
2066,"18,801 ",226 ,613 ,657 ,"14,977 "
2067,"16,100 ",191 ,581 ,476 ,"10,539 "
2068,"10,584 ",119 ,315 ,322 ,"8,762 "
2069,"9,065 ",96 ,233 ,293 ,"7,646 "
2070,"8,560 ",76 ,257 ,281 ,"7,208 "
2071,"8,581 ",106 ,258 ,275 ,"7,171 "
2072,"5,088 ",64 ,171 ,176 ,"3,981 "
2073,"10,410 ",95 ,295 ,337 ,"8,957 "
2074,"14,427 ",125 ,437 ,814 ,"12,233 "
2075,"13,111 ",98 ,343 ,665 ,"11,336 "
2076,"15,107 ",174 ,534 ,725 ,"12,537 "
2077,"21,895 ",223 ,"1,077 ","1,051 ","14,761 "
2079,"4,535 ",27 ,200 ,209 ,"3,465 "
2080,"1,071 ",13 ,41 ,57 ,789 
2081,"3,322 ",28 ,121 ,158 ,"2,612 "
2082,"3,274 ",20 ,102 ,180 ,"2,552 "
2083,986 ,21 ,34 ,61 ,635 
2084,"2,402 ",26 ,61 ,99 ,"1,999 "
2085,"7,168 ",76 ,213 ,593 ,"5,904 "
2086,"8,268 ",62 ,246 ,449 ,"6,570 "
2087,"7,597 ",63 ,226 ,422 ,"6,185 "
2088,"19,636 ",402 ,508 ,541 ,"16,157 "
2089,"8,879 ",207 ,283 ,237 ,"6,627 "
2090,"9,242 ",177 ,219 ,297 ,"7,351 "
2092,"4,471 ",75 ,130 ,137 ,"3,766 "
2093,"14,603 ",213 ,467 ,554 ,"11,353 "
2094,"4,200 ",93 ,123 ,141 ,"3,277 "
2095,"12,168 ",419 ,331 ,293 ,"8,149 "
2096,"9,850 ",172 ,296 ,277 ,"7,213 "
2097,"9,928 ",107 ,303 ,440 ,"7,410 "
2099,"25,603 ",271 ,"1,104 ","1,162 ","16,001 "
2100,"13,514 ",130 ,457 ,683 ,"9,708 "
2101,"12,328 ",127 ,435 ,739 ,"8,945 "
2102,"4,473 ",41 ,155 ,201 ,"3,312 "
2103,"7,260 ",84 ,243 ,440 ,"5,534 "
2104,"2,363 ",20 ,64 ,153 ,"1,986 "
2105,"1,373 ",15 ,45 ,60 ,"1,080 "
2106,"6,520 ",62 ,236 ,299 ,"5,019 "
2107,"10,078 ",127 ,335 ,489 ,"7,796 "
2108,"1,316 ",25 ,39 ,36 ,"1,068 "
2110,"6,104 ",72 ,158 ,199 ,"5,240 "
2111,"8,875 ",103 ,327 ,323 ,"6,699 "
2112,"18,068 ",196 ,853 ,762 ,"12,290 "
2113,"12,045 ",131 ,511 ,508 ,"8,312 "
2114,"14,341 ",130 ,721 ,488 ,"9,151 "
2115,"5,594 ",50 ,340 ,243 ,"3,304 "
2116,"3,427 ",33 ,221 ,132 ,"1,996 "
