postcode,tax_individuals,medicare_levy_surcharge_num,govt_allow_payments_num,govt_pensions_allow_num,private_health_num
2117,"11,548 ",83 ,712 ,476 ,"7,408 "
2118,"13,928 ",109 ,769 ,691 ,"9,750 "
2119,"7,341 ",73 ,244 ,324 ,"6,225 "
2120,"12,652 ",116 ,502 ,615 ,"9,996 "
2121,"17,252 ",150 ,742 ,755 ,"12,611 "
2122,"18,850 ",143 ,"1,048 ",845 ,"12,362 "
2125,"10,912 ",86 ,384 ,459 ,"9,066 "
2126,"11,837 ",79 ,430 ,551 ,"9,473 "
2127,"7,788 ",119 ,335 ,145 ,"4,954 "
2128,"1,186 ",13 ,98 ,23 ,525 
2130,"4,555 ",69 ,290 ,119 ,"2,771 "
2131,"14,122 ",167 ,819 ,463 ,"6,619 "
2132,"6,141 ",74 ,384 ,283 ,"3,952 "
2133,"6,093 ",60 ,376 ,226 ,"3,739 "
2134,"8,896 ",71 ,463 ,251 ,"4,085 "
2135,"16,497 ",168 ,692 ,415 ,"8,734 "
2136,"4,386 ",44 ,264 ,184 ,"2,609 "
2137,"16,214 ",218 ,566 ,602 ,"11,588 "
2138,"11,016 ",154 ,369 ,235 ,"6,639 "
2140,"8,727 ",65 ,512 ,132 ,"3,532 "
2141,"15,650 ",120 ,"1,346 ",493 ,"6,095 "
2142,"11,854 ",77 ,"1,134 ",349 ,"3,541 "
2143,"4,272 ",31 ,462 ,176 ,"1,718 "
2144,"17,158 ",99 ,"1,947 ",480 ,"3,789 "
2145,"42,042 ",408 ,"2,510 ","1,604 ","21,277 "
2146,"9,519 ",94 ,551 ,490 ,"5,051 "
2147,"19,467 ",160 ,"1,256 ",972 ,"10,567 "
2148,"32,929 ",238 ,"2,647 ","1,425 ","12,963 "
2150,"17,767 ",215 ,"1,028 ",292 ,"6,201 "
2151,"11,556 ",116 ,750 ,475 ,"7,142 "
2152,"6,431 ",58 ,357 ,385 ,"4,238 "
2153,"34,435 ",317 ,"1,342 ","1,757 ","25,883 "
2154,"24,487 ",204 ,846 ,"1,247 ","19,453 "
2155,"30,106 ",292 ,"1,107 ",795 ,"22,317 "
2156,"8,721 ",64 ,226 ,429 ,"7,235 "
2157,"2,293 ",9 ,84 ,94 ,"1,690 "
2158,"5,636 ",52 ,223 ,270 ,"4,547 "
2159,"3,298 ",24 ,111 ,180 ,"2,559 "
2160,"16,704 ",141 ,"1,768 ",701 ,"6,308 "
2161,"12,816 ",111 ,"1,522 ",568 ,"4,332 "
2162,"8,122 ",63 ,859 ,445 ,"3,240 "
2163,"3,434 ",26 ,524 ,175 ,902 
2164,"9,386 ",72 ,853 ,490 ,"3,902 "
2165,"16,131 ",147 ,"2,265 ",780 ,"4,767 "
2166,"22,338 ",227 ,"3,285 ","1,019 ","6,348 "
2167,"5,034 ",39 ,369 ,183 ,"2,189 "
2168,"18,240 ",163 ,"2,112 ",670 ,"5,731 "
2170,"47,870 ",434 ,"4,079 ","2,086 ","19,578 "
2171,"18,716 ",216 ,"1,049 ",500 ,"9,203 "
2172,"1,453 ",21 ,33 ,40 ,"1,020 "
2173,"8,332 ",59 ,387 ,183 ,"4,808 "
2174,862 ,22 ,32 ,13 ,408 
2175,"1,099 ",7 ,41 ,34 ,699 
2176,"23,744 ",209 ,"2,087 ","1,054 ","11,149 "
2177,"7,429 ",97 ,833 ,305 ,"2,677 "
2178,"1,999 ",17 ,109 ,78 ,"1,191 "
2179,"2,603 ",43 ,157 ,97 ,"1,378 "
2190,"10,773 ",99 ,"1,167 ",490 ,"4,262 "
2191,"3,174 ",32 ,222 ,139 ,"1,785 "
2192,"6,496 ",59 ,572 ,234 ,"2,455 "
2193,"8,503 ",103 ,508 ,344 ,"4,734 "
2194,"12,432 ",91 ,"1,038 ",373 ,"3,993 "
2195,"11,422 ",65 ,"1,366 ",310 ,"2,361 "
2196,"14,598 ",143 ,"1,392 ",676 ,"5,773 "
2197,"3,983 ",35 ,390 ,208 ,"1,727 "
2198,"4,481 ",42 ,320 ,294 ,"2,429 "
2199,"7,700 ",59 ,832 ,401 ,"3,003 "
2200,"19,273 ",177 ,"2,103 ",796 ,"6,734 "
2203,"8,217 ",138 ,608 ,289 ,"4,861 "
2204,"15,036 ",280 ,"1,215 ",441 ,"7,903 "
2205,"10,168 ",143 ,634 ,253 ,"4,639 "
2206,"10,883 ",179 ,511 ,507 ,"6,756 "
2207,"15,130 ",155 ,949 ,674 ,"8,798 "
2208,"7,045 ",94 ,398 ,348 ,"4,215 "
2209,"8,763 ",58 ,588 ,438 ,"5,057 "
2210,"15,995 ",126 ,942 ,864 ,"9,836 "
2211,"9,598 ",74 ,532 ,509 ,"5,689 "
2212,"8,406 ",77 ,545 ,397 ,"4,778 "
2213,"12,023 ",116 ,574 ,565 ,"7,874 "
2214,"2,350 ",18 ,107 ,163 ,"1,563 "
2216,"16,831 ",163 ,938 ,584 ,"7,484 "
2217,"16,255 ",155 ,806 ,623 ,"8,556 "
2218,"9,479 ",67 ,624 ,323 ,"4,800 "
2219,"7,806 ",87 ,333 ,448 ,"5,311 "
2220,"17,926 ",120 ,999 ,525 ,"8,976 "
2221,"10,026 ",107 ,393 ,452 ,"7,288 "
2222,"7,562 ",65 ,406 ,288 ,"4,285 "
2223,"13,101 ",108 ,547 ,571 ,"9,165 "
2224,"8,513 ",74 ,336 ,484 ,"6,257 "
2225,"3,418 ",24 ,83 ,143 ,"2,765 "
2226,"7,551 ",84 ,278 ,359 ,"5,723 "
2227,"8,888 ",70 ,356 ,467 ,"6,891 "
2228,"10,987 ",105 ,541 ,601 ,"7,616 "
2229,"17,939 ",143 ,730 ,991 ,"13,734 "
2230,"19,534 ",236 ,808 ,831 ,"14,373 "
2231,"1,332 ",23 ,75 ,54 ,861 
2232,"19,697 ",167 ,943 ,"1,118 ","14,342 "
2233,"18,021 ",111 ,649 ,946 ,"13,670 "
2234,"20,232 ",167 ,699 ,763 ,"15,762 "
2250,"37,373 ",306 ,"2,847 ","2,575 ","22,710 "
2251,"18,241 ",137 ,"1,215 ","1,384 ","12,014 "
2256,"7,722 ",64 ,707 ,648 ,"4,173 "
2257,"15,089 ",124 ,"1,401 ","1,301 ","8,215 "
2258,"3,140 ",23 ,247 ,153 ,"1,996 "
2259,"28,671 ",303 ,"2,551 ","1,880 ","14,767 "
2260,"14,328 ",172 ,839 ,811 ,"10,230 "
2261,"29,316 ",260 ,"2,627 ","2,071 ","14,373 "
2262,"9,341 ",83 ,"1,120 ",688 ,"3,643 "
2263,"10,601 ",96 ,"1,310 ",858 ,"4,546 "
2264,"7,048 ",58 ,657 ,659 ,"4,130 "
2265,"2,814 ",20 ,254 ,192 ,"1,792 "
2267,"1,525 ",10 ,121 ,156 ,"1,012 "
2278,"1,473 ",11 ,123 ,63 ,921 
2280,"14,822 ",130 ,949 ,932 ,"10,336 "
2281,"7,180 ",74 ,547 ,501 ,"4,422 "
2282,"8,712 ",74 ,506 ,576 ,"6,539 "
2283,"12,365 ",102 ,991 ,971 ,"7,889 "
2284,"5,532 ",49 ,521 ,391 ,"3,347 "
2285,"16,072 ",121 ,"1,191 ",811 ,"10,405 "
2286,"1,992 ",23 ,178 ,114 ,"1,129 "
2287,"18,970 ",161 ,"1,657 ","1,032 ","11,958 "
2289,"11,183 ",70 ,763 ,636 ,"8,117 "
2290,"18,664 ",148 ,"1,351 ","1,089 ","12,906 "
2291,"8,835 ",89 ,620 ,359 ,"6,963 "
2292,"1,392 ",10 ,157 ,63 ,865 
2293,"1,691 ",11 ,215 ,61 ,"1,088 "
2294,"1,121 ",11 ,157 ,52 ,653 
2295,"3,201 ",42 ,228 ,246 ,"2,115 "
2296,"1,077 ",5 ,138 ,46 ,605 
2297,877 ,11 ,120 ,45 ,470 
2298,"4,566 ",35 ,601 ,244 ,"2,700 "
2299,"5,551 ",60 ,671 ,279 ,"3,328 "
2300,"7,194 ",121 ,721 ,243 ,"4,995 "
2302,335 ,5 ,41 ,12 ,195 
2303,"5,193 ",50 ,515 ,228 ,"3,589 "
2304,"7,821 ",65 ,"1,040 ",391 ,"4,351 "
2305,"7,374 ",48 ,492 ,376 ,"5,480 "
2306,899 ,2 ,202 ,79 ,225 
2307,"1,755 ",11 ,241 ,113 ,867 
2308,116 ,3 ,61 ,1 ,54 
2309,65 ,1 ,2 ,1 ,41 
2311,497 ,3 ,29 ,27 ,379 
2312,715 ,6 ,90 ,57 ,321 
2315,"7,897 ",51 ,662 ,793 ,"4,921 "
2316,"3,078 ",39 ,265 ,216 ,"1,806 "
2317,"3,354 ",26 ,253 ,373 ,"2,138 "
2318,"6,508 ",72 ,438 ,380 ,"4,023 "
2319,"2,937 ",19 ,331 ,277 ,"1,457 "
2320,"17,748 ",175 ,"1,536 ",967 ,"11,798 "
2321,"7,700 ",55 ,563 ,383 ,"5,243 "
2322,"9,549 ",61 ,794 ,521 ,"5,791 "
2323,"13,519 ",106 ,"1,114 ",805 ,"8,811 "
2324,"11,587 ",80 ,"1,194 ",990 ,"6,619 "
2325,"12,367 ",106 ,"1,385 ",782 ,"6,917 "
2326,"3,262 ",21 ,384 ,223 ,"1,675 "
2327,"3,393 ",20 ,440 ,245 ,"1,685 "
2328,"1,307 ",31 ,77 ,80 ,881 
2329,"1,048 ",14 ,81 ,86 ,667 
2330,"11,302 ",167 ,689 ,526 ,"8,166 "
2333,"6,962 ",110 ,596 ,344 ,"4,417 "
2334,"1,357 ",21 ,136 ,71 ,805 
2335,"3,317 ",43 ,201 ,162 ,"2,427 "
2336,"1,398 ",17 ,90 ,74 ,918 
2337,"4,738 ",49 ,272 ,239 ,"2,914 "
2338,694 ,11 ,55 ,78 ,415 
2339,425 ,0 ,36 ,28 ,275 
2340,"26,739 ",221 ,"2,441 ","1,998 ","15,152 "
2341,627 ,5 ,97 ,50 ,322 
2342,266 ,0 ,20 ,28 ,162 
2343,"2,632 ",11 ,200 ,211 ,"1,624 "
2344,434 ,10 ,42 ,22 ,307 
2345,453 ,1 ,44 ,43 ,270 
2346,"1,414 ",20 ,173 ,134 ,693 
2347,822 ,5 ,101 ,94 ,469 
2350,"13,650 ",190 ,"1,398 ",857 ,"8,428 "
2351,80 ,1 ,29 ,3 ,46 
2352,"1,456 ",7 ,116 ,118 ,838 
2353,527 ,4 ,40 ,39 ,295 
2354,"2,183 ",11 ,194 ,156 ,"1,461 "
2355,301 ,0 ,40 ,17 ,179 
2356,71 ,0 ,5 ,13 ,27 
2357,"1,996 ",20 ,205 ,211 ,"1,130 "
2358,"2,092 ",17 ,226 ,195 ,"1,198 "
2359,359 ,5 ,58 ,34 ,220 
2360,"7,078 ",64 ,726 ,660 ,"3,899 "
2361,366 ,0 ,69 ,32 ,212 
2365,"1,940 ",15 ,208 ,151 ,"1,174 "
2369,329 ,2 ,47 ,31 ,128 
2370,"3,680 ",22 ,479 ,398 ,"1,957 "
2371,540 ,1 ,82 ,80 ,276 
2372,"2,456 ",13 ,286 ,277 ,"1,586 "
2379,204 ,1 ,39 ,7 ,144 
2380,"5,558 ",83 ,498 ,400 ,"3,342 "
2381,612 ,3 ,65 ,29 ,337 
2382,674 ,20 ,54 ,64 ,395 
2386,208 ,0 ,18 ,7 ,148 
2387,132 ,0 ,15 ,2 ,95 
2388,"1,448 ",11 ,170 ,108 ,795 
2390,"4,813 ",61 ,405 ,313 ,"3,094 "
2395,260 ,1 ,36 ,33 ,113 
2396,418 ,4 ,50 ,38 ,216 
2397,258 ,3 ,29 ,11 ,169 
2398,136 ,0 ,9 ,6 ,102 
2399,330 ,2 ,27 ,14 ,189 
2400,"5,512 ",39 ,479 ,333 ,"3,073 "
2401,170 ,1 ,23 ,19 ,99 
2402,887 ,1 ,69 ,89 ,498 
2403,339 ,4 ,62 ,35 ,218 
2404,857 ,1 ,119 ,122 ,526 
2405,286 ,4 ,13 ,11 ,196 
2406,451 ,0 ,43 ,24 ,276 
2408,228 ,0 ,9 ,3 ,157 
2409,287 ,1 ,50 ,23 ,136 
2410,115 ,2 ,19 ,4 ,73 
2411,66 ,0 ,1 ,0 ,42 
2415,179 ,0 ,18 ,6 ,115 
2420,"2,046 ",22 ,168 ,167 ,"1,350 "
2421,"1,065 ",8 ,57 ,64 ,827 
2422,"2,665 ",16 ,253 ,268 ,"1,638 "
2423,"1,456 ",7 ,166 ,119 ,780 
2424,201 ,5 ,30 ,20 ,85 
2425,944 ,5 ,69 ,51 ,631 
2426,306 ,2 ,53 ,20 ,128 
2427,"1,278 ",11 ,146 ,161 ,722 
2428,"10,988 ",82 ,"1,280 ","1,349 ","6,250 "
2429,"4,704 ",37 ,551 ,444 ,"2,257 "
2430,"15,516 ",105 ,"1,847 ","1,450 ","8,032 "
2431,"2,339 ",19 ,250 ,272 ,"1,207 "
2439,"1,224 ",11 ,125 ,88 ,644 
2440,"9,634 ",66 ,"1,324 ",960 ,"4,097 "
2441,"2,475 ",27 ,317 ,198 ,"1,180 "
2443,"4,038 ",32 ,423 ,520 ,"2,013 "
2444,"24,386 ",246 ,"2,434 ","2,362 ","13,696 "
2445,"3,391 ",31 ,276 ,299 ,"1,905 "
2446,"6,604 ",54 ,694 ,593 ,"3,384 "
2447,"3,540 ",24 ,416 ,365 ,"1,776 "
2448,"3,851 ",39 ,492 ,452 ,"1,824 "
2449,928 ,12 ,138 ,117 ,383 
2450,"23,451 ",244 ,"2,605 ","1,923 ","12,853 "
2452,"7,659 ",63 ,905 ,696 ,"3,944 "
2453,"1,486 ",12 ,160 ,148 ,894 
2454,"3,969 ",47 ,548 ,315 ,"2,003 "
2455,"1,536 ",17 ,166 ,145 ,818 
2456,"8,224 ",101 ,915 ,572 ,"3,753 "
2460,"13,497 ",102 ,"1,750 ","1,162 ","6,906 "
2462,"1,038 ",11 ,137 ,82 ,494 
2463,"3,521 ",32 ,450 ,320 ,"1,755 "
2464,"3,409 ",24 ,395 ,373 ,"1,887 "
2465,200 ,2 ,26 ,20 ,98 
2466,653 ,4 ,96 ,90 ,307 
2469,"1,661 ",17 ,234 ,174 ,782 
2470,"6,939 ",32 ,773 ,651 ,"3,695 "
2471,"1,130 ",5 ,150 ,109 ,572 
2472,"1,028 ",9 ,146 ,94 ,529 
2473,"1,402 ",11 ,150 ,151 ,827 
2474,"3,101 ",25 ,363 ,274 ,"1,574 "
2475,178 ,0 ,17 ,11 ,97 
2476,327 ,0 ,39 ,27 ,187 
2477,"6,733 ",38 ,629 ,608 ,"4,167 "
2478,"16,043 ",182 ,"1,602 ","1,405 ","9,379 "
2479,"3,090 ",23 ,297 ,175 ,"1,883 "
2480,"23,594 ",185 ,"2,842 ","1,796 ","13,180 "
2481,"8,366 ",109 ,"1,043 ",340 ,"3,846 "
2482,"3,725 ",49 ,580 ,289 ,"1,692 "
2483,"5,952 ",68 ,860 ,433 ,"2,743 "
2484,"9,526 ",77 ,"1,107 ",756 ,"4,783 "
2485,"6,978 ",63 ,747 ,704 ,"3,366 "
2486,"16,028 ",146 ,"1,643 ","1,507 ","8,450 "
2487,"6,916 ",89 ,620 ,457 ,"4,233 "
2488,"1,928 ",27 ,232 ,122 ,"1,016 "
2489,"3,596 ",37 ,361 ,309 ,"2,083 "
2490,369 ,4 ,37 ,27 ,209 
2500,"20,608 ",269 ,"2,223 ","1,026 ","12,188 "
2502,"4,789 ",38 ,656 ,352 ,"1,919 "
2505,"2,333 ",26 ,253 ,145 ,"1,172 "
2506,"3,470 ",33 ,391 ,187 ,"1,469 "
2508,"5,301 ",49 ,215 ,211 ,"3,784 "
2515,"6,826 ",123 ,361 ,325 ,"4,872 "
2516,"3,410 ",52 ,179 ,141 ,"2,423 "
2517,"7,271 ",69 ,477 ,357 ,"4,958 "
2518,"9,870 ",90 ,854 ,581 ,"5,906 "
2519,"8,951 ",86 ,743 ,537 ,"5,728 "
2525,"6,310 ",47 ,388 ,397 ,"4,356 "
2526,"8,735 ",88 ,562 ,392 ,"5,735 "
2527,"11,439 ",113 ,897 ,587 ,"6,191 "
2528,"10,828 ",83 ,"1,182 ",723 ,"4,906 "
2529,"13,827 ",161 ,927 ,635 ,"8,264 "
2530,"16,336 ",154 ,"1,234 ","1,014 ","8,786 "
2533,"9,391 ",100 ,530 ,645 ,"6,439 "
2534,"3,270 ",25 ,158 ,189 ,"2,237 "
2535,"4,099 ",29 ,219 ,363 ,"2,747 "
2536,"8,851 ",73 ,929 ,978 ,"4,265 "
2537,"6,256 ",61 ,569 ,641 ,"3,102 "
2538,"1,263 ",9 ,102 ,120 ,734 
2539,"9,065 ",59 ,"1,013 ",958 ,"4,488 "
2540,"20,901 ",191 ,"2,009 ","1,894 ","10,489 "
2541,"12,498 ",90 ,"1,427 ","1,082 ","5,687 "
2545,595 ,9 ,60 ,66 ,305 
2546,"4,698 ",30 ,492 ,612 ,"2,572 "
2548,"4,425 ",45 ,363 ,571 ,"2,553 "
2549,"2,141 ",36 ,171 ,178 ,"1,151 "
2550,"8,901 ",112 ,901 ,719 ,"4,481 "
2551,"1,846 ",28 ,195 ,194 ,935 
2555,149 ,0 ,8 ,11 ,52 
2556,"1,427 ",23 ,65 ,47 ,782 
2557,"3,913 ",40 ,196 ,115 ,"2,223 "
2558,"6,214 ",52 ,499 ,225 ,"2,604 "
2559,853 ,5 ,187 ,45 ,116 
2560,"38,574 ",355 ,"3,372 ","2,194 ","16,354 "
2563,162 ,3 ,13 ,10 ,84 
2564,"6,385 ",55 ,732 ,311 ,"1,949 "
2565,"10,291 ",109 ,739 ,451 ,"4,569 "
2566,"13,937 ",118 ,"1,098 ",536 ,"5,440 "
2567,"21,574 ",248 ,"1,065 ",752 ,"12,548 "
2568,698 ,5 ,17 ,49 ,503 
2569,851 ,14 ,32 ,31 ,525 
2570,"21,391 ",269 ,878 ,931 ,"13,755 "
2571,"6,606 ",89 ,275 ,293 ,"4,054 "
2572,"2,328 ",28 ,139 ,110 ,"1,303 "
2573,"2,576 ",23 ,202 ,149 ,"1,214 "
2574,"3,135 ",38 ,189 ,158 ,"1,617 "
2575,"8,540 ",59 ,478 ,601 ,"4,899 "
2576,"8,248 ",60 ,342 ,822 ,"6,126 "
2577,"8,454 ",66 ,478 ,644 ,"5,160 "
2578,"1,520 ",7 ,87 ,194 ,"1,000 "
2579,"2,139 ",20 ,128 ,162 ,"1,291 "
2580,"15,240 ",176 ,"1,118 ","1,024 ","8,294 "
2581,"1,179 ",26 ,46 ,66 ,796 
2582,"7,244 ",94 ,271 ,415 ,"5,145 "
2583,"2,490 ",27 ,188 ,199 ,"1,544 "
2584,294 ,3 ,20 ,31 ,182 
2585,144 ,2 ,11 ,7 ,109 
2586,"1,359 ",10 ,111 ,124 ,867 
2587,"1,445 ",4 ,118 ,128 ,894 
2588,206 ,6 ,11 ,9 ,128 
2590,"3,790 ",26 ,264 ,292 ,"2,201 "
2594,"6,002 ",39 ,533 ,416 ,"3,472 "
2618,858 ,14 ,25 ,44 ,688 
2619,"5,937 ",108 ,120 ,144 ,"4,418 "
2620,"22,991 ",412 ,"1,100 ",999 ,"13,550 "
2621,"3,754 ",82 ,86 ,160 ,"2,737 "
2622,"2,121 ",41 ,151 ,163 ,"1,344 "
2623,341 ,5 ,21 ,18 ,175 
2624,55 ,0 ,3 ,1 ,20 
2625,211 ,0 ,12 ,3 ,120 
2626,275 ,1 ,14 ,24 ,187 
2627,"2,724 ",22 ,166 ,116 ,"1,887 "
2628,"1,037 ",7 ,65 ,81 ,720 
2629,286 ,3 ,22 ,29 ,175 
2630,"4,886 ",45 ,416 ,402 ,"3,109 "
2631,337 ,2 ,24 ,26 ,196 
2632,"1,088 ",23 ,85 ,76 ,479 
2633,219 ,1 ,15 ,23 ,88 
2640,"20,515 ",160 ,"1,818 ","1,280 ","13,654 "
2641,"7,960 ",44 ,895 ,642 ,"4,350 "
2642,"2,874 ",16 ,206 ,175 ,"2,019 "
2643,"1,481 ",5 ,117 ,117 ,831 
2644,"1,352 ",10 ,95 ,112 ,989 
2645,249 ,0 ,19 ,22 ,166 
2646,"3,917 ",15 ,314 ,309 ,"2,232 "
2647,"1,156 ",11 ,86 ,129 ,561 
2648,"1,233 ",15 ,133 ,142 ,673 
2650,"32,082 ",199 ,"2,488 ","1,969 ","19,190 "
2651,"1,023 ",6 ,88 ,46 ,418 
2652,"2,766 ",21 ,184 ,175 ,"1,809 "
2653,"1,307 ",11 ,87 ,110 ,806 
2655,785 ,0 ,55 ,48 ,513 
2656,695 ,5 ,50 ,49 ,505 
2658,749 ,1 ,67 ,73 ,512 
2659,526 ,2 ,32 ,42 ,391 
2660,833 ,5 ,56 ,67 ,550 
2661,131 ,0 ,5 ,1 ,37 
