POSTCODE_2011,SA3_CODE_2011,SA3_NAME_2011
5633,40601,Eyre Peninsula and South West
5640,40601,Eyre Peninsula and South West
5641,40601,Eyre Peninsula and South West
5642,40601,Eyre Peninsula and South West
5650,40601,Eyre Peninsula and South West
5651,40601,Eyre Peninsula and South West
5652,40601,Eyre Peninsula and South West
5653,40601,Eyre Peninsula and South West
5654,40601,Eyre Peninsula and South West
5655,40601,Eyre Peninsula and South West
5660,40601,Eyre Peninsula and South West
5661,40601,Eyre Peninsula and South West
5670,40601,Eyre Peninsula and South West
5671,40601,Eyre Peninsula and South West
5680,40601,Eyre Peninsula and South West
5690,40601,Eyre Peninsula and South West
5700,40602,Outback - North and East
5710,40503,Mid North
5710,40601,Eyre Peninsula and South West
5710,40602,Outback - North and East
5720,40602,Outback - North and East
5722,40602,Outback - North and East
5723,40602,Outback - North and East
5724,40602,Outback - North and East
5725,40602,Outback - North and East
5730,40602,Outback - North and East
5731,40602,Outback - North and East
5732,40602,Outback - North and East
5733,40602,Outback - North and East
5734,40602,Outback - North and East
5950,40403,West Torrens
6000,50302,Perth City
6003,50302,Perth City
6004,50302,Perth City
6005,50302,Perth City
6006,50302,Perth City
6007,50302,Perth City
6008,50302,Perth City
6009,50301,Cottesloe - Claremont
6010,50301,Cottesloe - Claremont
6011,50301,Cottesloe - Claremont
6012,50301,Cottesloe - Claremont
6014,50301,Cottesloe - Claremont
6014,50302,Perth City
6014,50502,Stirling
6015,50301,Cottesloe - Claremont
6015,50502,Stirling
6016,50302,Perth City
6017,50502,Stirling
6018,50502,Stirling
6019,50301,Cottesloe - Claremont
6019,50502,Stirling
6020,50501,Joondalup
6020,50502,Stirling
6021,50502,Stirling
6022,50502,Stirling
6023,50501,Joondalup
6024,50501,Joondalup
6025,50501,Joondalup
6026,50501,Joondalup
6027,50501,Joondalup
6028,50501,Joondalup
6029,50502,Stirling
6030,50503,Wanneroo
6031,50503,Wanneroo
6032,50503,Wanneroo
6033,50503,Wanneroo
6034,50503,Wanneroo
6035,50503,Wanneroo
6036,50503,Wanneroo
6037,50503,Wanneroo
6038,50503,Wanneroo
6041,50902,Wheat Belt - North
6042,50902,Wheat Belt - North
6043,50902,Wheat Belt - North
6044,50902,Wheat Belt - North
6050,50302,Perth City
6050,50401,Bayswater - Bassendean
6050,50502,Stirling
6051,50302,Perth City
6051,50401,Bayswater - Bassendean
6052,50302,Perth City
6052,50401,Bayswater - Bassendean
6052,50502,Stirling
6053,50401,Bayswater - Bassendean
6054,50401,Bayswater - Bassendean
6054,50403,Swan
6055,50402,Mundaring
6055,50403,Swan
6056,50402,Mundaring
6056,50403,Swan
6057,50605,Kalamunda
6058,50605,Kalamunda
6059,50401,Bayswater - Bassendean
6059,50502,Stirling
6060,50502,Stirling
6061,50502,Stirling
6061,50503,Wanneroo
6062,50401,Bayswater - Bassendean
6062,50502,Stirling
6063,50403,Swan
6064,50403,Swan
6064,50501,Joondalup
6064,50503,Wanneroo
6065,50501,Joondalup
6065,50503,Wanneroo
6066,50403,Swan
6067,50403,Swan
6068,50403,Swan
6069,50403,Swan
6070,50402,Mundaring
6071,50402,Mundaring
6072,50402,Mundaring
6073,50402,Mundaring
6074,50402,Mundaring
6076,50402,Mundaring
6076,50605,Kalamunda
6077,50503,Wanneroo
6078,50503,Wanneroo
6079,50403,Swan
6079,50503,Wanneroo
6081,50402,Mundaring
6082,50402,Mundaring
6083,50402,Mundaring
6083,50403,Swan
6083,50902,Wheat Belt - North
6084,50403,Swan
6084,50902,Wheat Belt - North
6090,50403,Swan
6100,50602,Belmont - Victoria Park
6101,50602,Belmont - Victoria Park
6102,50602,Belmont - Victoria Park
6102,50603,Canning
6103,50602,Belmont - Victoria Park
6104,50602,Belmont - Victoria Park
6105,50602,Belmont - Victoria Park
6105,50605,Kalamunda
6106,50603,Canning
6107,50603,Canning
6107,50604,Gosnells
6107,50605,Kalamunda
6108,50604,Gosnells
6109,50604,Gosnells
6110,50604,Gosnells
6111,50601,Armadale
6111,50605,Kalamunda
6112,50601,Armadale
6112,50604,Gosnells
6121,50606,Serpentine - Jarrahdale
6122,50606,Serpentine - Jarrahdale
6123,50606,Serpentine - Jarrahdale
6124,50606,Serpentine - Jarrahdale
6125,50606,Serpentine - Jarrahdale
6126,50606,Serpentine - Jarrahdale
6147,50603,Canning
6147,50604,Gosnells
6148,50603,Canning
6149,50603,Canning
6149,50704,Melville
6150,50704,Melville
6151,50602,Belmont - Victoria Park
6151,50607,South Perth
6152,50607,South Perth
6153,50704,Melville
6154,50704,Melville
6155,50603,Canning
6155,50604,Gosnells
6155,50704,Melville
6156,50704,Melville
6157,50702,Fremantle
6157,50704,Melville
6158,50702,Fremantle
6159,50702,Fremantle
6160,50702,Fremantle
6161,50702,Fremantle
6162,50702,Fremantle
6163,50701,Cockburn
6163,50702,Fremantle
6163,50704,Melville
6164,50701,Cockburn
6165,50703,Kwinana
6166,50701,Cockburn
6167,50703,Kwinana
6168,50705,Rockingham
6169,50705,Rockingham
6170,50703,Kwinana
6171,50705,Rockingham
6172,50705,Rockingham
6173,50705,Rockingham
6174,50705,Rockingham
6175,50705,Rockingham
6176,50705,Rockingham
6180,50201,Mandurah
6181,50201,Mandurah
6182,50201,Mandurah
6182,50606,Serpentine - Jarrahdale
6182,50705,Rockingham
6207,50201,Mandurah
6207,50903,Wheat Belt - South
6208,50201,Mandurah
6209,50201,Mandurah
6210,50201,Mandurah
6211,50201,Mandurah
6213,50903,Wheat Belt - South
6214,50102,Bunbury
6214,50201,Mandurah
6215,50102,Bunbury
6218,50102,Bunbury
6220,50102,Bunbury
6221,50102,Bunbury
6223,50102,Bunbury
6224,50102,Bunbury
6225,50102,Bunbury
6225,50103,Manjimup
6225,50903,Wheat Belt - South
6226,50102,Bunbury
6227,50102,Bunbury
6228,50102,Bunbury
6229,50102,Bunbury
6230,50102,Bunbury
6232,50102,Bunbury
6233,50102,Bunbury
6236,50102,Bunbury
6237,50102,Bunbury
6239,50103,Manjimup
6240,50103,Manjimup
6243,50103,Manjimup
6244,50103,Manjimup
6244,50903,Wheat Belt - South
6251,50103,Manjimup
6252,50103,Manjimup
6253,50103,Manjimup
6254,50103,Manjimup
6255,50103,Manjimup
6256,50103,Manjimup
6258,50103,Manjimup
6260,50103,Manjimup
6262,50103,Manjimup
6271,50102,Bunbury
6275,50101,Augusta - Margaret River - Busselton
6275,50103,Manjimup
6280,50101,Augusta - Margaret River - Busselton
6280,50102,Bunbury
6281,50101,Augusta - Margaret River - Busselton
6282,50101,Augusta - Margaret River - Busselton
6284,50101,Augusta - Margaret River - Busselton
6285,50101,Augusta - Margaret River - Busselton
6286,50101,Augusta - Margaret River - Busselton
6288,50101,Augusta - Margaret River - Busselton
6288,50103,Manjimup
6290,50101,Augusta - Margaret River - Busselton
6302,50902,Wheat Belt - North
6304,50902,Wheat Belt - North
6306,50903,Wheat Belt - South
6308,50903,Wheat Belt - South
6309,50903,Wheat Belt - South
6311,50903,Wheat Belt - South
6312,50903,Wheat Belt - South
6313,50903,Wheat Belt - South
6315,50903,Wheat Belt - South
6316,50901,Albany
6316,50903,Wheat Belt - South
6317,50901,Albany
6317,50903,Wheat Belt - South
6318,50901,Albany
6320,50901,Albany
6321,50901,Albany
6322,50901,Albany
6323,50901,Albany
6324,50901,Albany
6326,50901,Albany
6327,50901,Albany
6328,50901,Albany
6330,50901,Albany
6333,50901,Albany
6335,50901,Albany
6336,50901,Albany
6337,50801,Esperance
6337,50901,Albany
6338,50801,Esperance
6338,50901,Albany
6341,50901,Albany
6343,50901,Albany
6346,50801,Esperance
6348,50801,Esperance
6350,50903,Wheat Belt - South
6351,50903,Wheat Belt - South
6352,50903,Wheat Belt - South
6353,50903,Wheat Belt - South
6355,50903,Wheat Belt - South
6356,50801,Esperance
6356,50903,Wheat Belt - South
6357,50903,Wheat Belt - South
6358,50903,Wheat Belt - South
6359,50903,Wheat Belt - South
6361,50903,Wheat Belt - South
6363,50903,Wheat Belt - South
6365,50903,Wheat Belt - South
6367,50903,Wheat Belt - South
6368,50902,Wheat Belt - North
6369,50902,Wheat Belt - North
6370,50903,Wheat Belt - South
6372,50903,Wheat Belt - South
6373,50903,Wheat Belt - South
6375,50903,Wheat Belt - South
6383,50902,Wheat Belt - North
6384,50902,Wheat Belt - North
6385,50902,Wheat Belt - North
6386,50902,Wheat Belt - North
6390,50903,Wheat Belt - South
6391,50903,Wheat Belt - South
6392,50903,Wheat Belt - South
6393,50903,Wheat Belt - South
6394,50901,Albany
6394,50903,Wheat Belt - South
6395,50103,Manjimup
6395,50901,Albany
6396,50901,Albany
6397,50901,Albany
6398,50103,Manjimup
6401,50902,Wheat Belt - North
6403,50902,Wheat Belt - North
6405,50902,Wheat Belt - North
6407,50902,Wheat Belt - North
6409,50902,Wheat Belt - North
6410,50902,Wheat Belt - North
6411,50902,Wheat Belt - North
6412,50902,Wheat Belt - North
6413,50902,Wheat Belt - North
6414,50902,Wheat Belt - North
6415,50902,Wheat Belt - North
6418,50902,Wheat Belt - North
6419,50902,Wheat Belt - North
6420,50902,Wheat Belt - North
6421,50902,Wheat Belt - North
6422,50902,Wheat Belt - North
6423,50902,Wheat Belt - North
6424,50902,Wheat Belt - North
6425,50902,Wheat Belt - North
6426,50902,Wheat Belt - North
6427,50902,Wheat Belt - North
6428,50902,Wheat Belt - North
6429,50803,Goldfields
6430,50803,Goldfields
6431,50803,Goldfields
6432,50803,Goldfields
6434,50803,Goldfields
6436,50803,Goldfields
6436,50805,Mid West
6437,50803,Goldfields
6438,50803,Goldfields
6440,50803,Goldfields
6442,50803,Goldfields
6443,50803,Goldfields
6445,50801,Esperance
6446,50801,Esperance
6447,50801,Esperance
6448,50801,Esperance
6450,50801,Esperance
6452,50801,Esperance
6460,50902,Wheat Belt - North
6461,50902,Wheat Belt - North
6462,50902,Wheat Belt - North
6463,50902,Wheat Belt - North
6465,50902,Wheat Belt - North
6466,50902,Wheat Belt - North
6467,50902,Wheat Belt - North
6468,50902,Wheat Belt - North
6470,50902,Wheat Belt - North
6472,50902,Wheat Belt - North
6473,50902,Wheat Belt - North
6475,50902,Wheat Belt - North
6476,50902,Wheat Belt - North
6477,50902,Wheat Belt - North
6479,50902,Wheat Belt - North
6480,50902,Wheat Belt - North
6484,50902,Wheat Belt - North
6485,50902,Wheat Belt - North
6487,50902,Wheat Belt - North
6488,50902,Wheat Belt - North
6489,50902,Wheat Belt - North
6490,50902,Wheat Belt - North
6501,50902,Wheat Belt - North
6502,50902,Wheat Belt - North
6503,50902,Wheat Belt - North
6504,50902,Wheat Belt - North
6505,50902,Wheat Belt - North
6506,50902,Wheat Belt - North
6507,50902,Wheat Belt - North
6509,50902,Wheat Belt - North
6510,50902,Wheat Belt - North
6511,50902,Wheat Belt - North
6512,50902,Wheat Belt - North
6513,50805,Mid West
6513,50902,Wheat Belt - North
6514,50805,Mid West
6515,50805,Mid West
6516,50902,Wheat Belt - North
6517,50805,Mid West
6518,50805,Mid West
6519,50805,Mid West
6521,50902,Wheat Belt - North
6522,50805,Mid West
6525,50805,Mid West
6528,50805,Mid West
6530,50805,Mid West
6532,50802,Gascoyne
6532,50805,Mid West
6535,50805,Mid West
6536,50805,Mid West
6537,50802,Gascoyne
6556,50402,Mundaring
6558,50402,Mundaring
6558,50902,Wheat Belt - North
6560,50402,Mundaring
6560,50902,Wheat Belt - North
6562,50902,Wheat Belt - North
6564,50902,Wheat Belt - North
6566,50902,Wheat Belt - North
6567,50902,Wheat Belt - North
6568,50902,Wheat Belt - North
6569,50902,Wheat Belt - North
6571,50902,Wheat Belt - North
6572,50902,Wheat Belt - North
6574,50902,Wheat Belt - North
6575,50902,Wheat Belt - North
6603,50902,Wheat Belt - North
6605,50902,Wheat Belt - North
6606,50902,Wheat Belt - North
6608,50902,Wheat Belt - North
6609,50902,Wheat Belt - North
6612,50805,Mid West
6612,50902,Wheat Belt - North
6613,50902,Wheat Belt - North
6614,50805,Mid West
6616,50805,Mid West
6620,50805,Mid West
6623,50805,Mid West
6625,50805,Mid West
6627,50805,Mid West
6628,50805,Mid West
6630,50805,Mid West
6631,50805,Mid West
6632,50805,Mid West
6635,50805,Mid West
6638,50805,Mid West
6639,50805,Mid West
6640,50805,Mid West
6642,50805,Mid West
6646,50805,Mid West
6701,50802,Gascoyne
6705,50802,Gascoyne
6707,50802,Gascoyne
6710,50802,Gascoyne
6710,50806,Pilbara
6711,50806,Pilbara
6712,50806,Pilbara
6713,50806,Pilbara
6714,50806,Pilbara
6716,50806,Pilbara
6718,50806,Pilbara
6720,50806,Pilbara
6721,50806,Pilbara
6722,50806,Pilbara
6725,50804,Kimberley
6726,50804,Kimberley
6728,50804,Kimberley
6731,50804,Kimberley
6733,50804,Kimberley
6740,50804,Kimberley
6743,50804,Kimberley
6751,50806,Pilbara
6753,50806,Pilbara
6754,50806,Pilbara
6758,50806,Pilbara
6760,50806,Pilbara
6762,50806,Pilbara
6765,50804,Kimberley
6770,50804,Kimberley
6798,90101,Christmas Island
6799,90102,Cocos (Keeling) Islands
6907,50301,Cottesloe - Claremont
7000,60105,Hobart Inner
7001,60301,Central Highlands (Tas.)
7001,60303,South East Coast
7004,60105,Hobart Inner
7005,60105,Hobart Inner
7007,60104,Hobart - South and West
7007,60105,Hobart Inner
7008,60103,Hobart - North West
7008,60105,Hobart Inner
7009,60103,Hobart - North West
7010,60103,Hobart - North West
7011,60103,Hobart - North West
7012,60103,Hobart - North West
7012,60301,Central Highlands (Tas.)
7015,60102,Hobart - North East
7016,60102,Hobart - North East
7017,60101,Brighton
7017,60102,Hobart - North East
7017,60106,Sorell - Dodges Ferry
7017,60301,Central Highlands (Tas.)
7018,60102,Hobart - North East
7019,60102,Hobart - North East
7020,60102,Hobart - North East
7021,60102,Hobart - North East
7022,60102,Hobart - North East
7023,60102,Hobart - North East
7024,60102,Hobart - North East
7025,60102,Hobart - North East
7025,60106,Sorell - Dodges Ferry
7026,60106,Sorell - Dodges Ferry
7026,60301,Central Highlands (Tas.)
7027,60301,Central Highlands (Tas.)
7030,60101,Brighton
7030,60103,Hobart - North West
7030,60301,Central Highlands (Tas.)
7050,60104,Hobart - South and West
7052,60104,Hobart - South and West
7053,60104,Hobart - South and West
7054,60104,Hobart - South and West
7054,60105,Hobart Inner
7054,60302,Huon - Bruny Island
7055,60104,Hobart - South and West
7109,60104,Hobart - South and West
7109,60302,Huon - Bruny Island
7112,60302,Huon - Bruny Island
7113,60302,Huon - Bruny Island
7116,60302,Huon - Bruny Island
7117,60302,Huon - Bruny Island
7119,60301,Central Highlands (Tas.)
7120,60203,North East
7120,60301,Central Highlands (Tas.)
7120,60303,South East Coast
7139,60301,Central Highlands (Tas.)
7140,60101,Brighton
7140,60103,Hobart - North West
7140,60301,Central Highlands (Tas.)
7150,60104,Hobart - South and West
7150,60302,Huon - Bruny Island
7155,60302,Huon - Bruny Island
7162,60302,Huon - Bruny Island
7163,60302,Huon - Bruny Island
7170,60102,Hobart - North East
7171,60106,Sorell - Dodges Ferry
7172,60106,Sorell - Dodges Ferry
7172,60301,Central Highlands (Tas.)
7173,60106,Sorell - Dodges Ferry
7174,60106,Sorell - Dodges Ferry
7175,60106,Sorell - Dodges Ferry
7176,60106,Sorell - Dodges Ferry
7177,60106,Sorell - Dodges Ferry
7177,60303,South East Coast
7178,60303,South East Coast
7179,60303,South East Coast
7180,60303,South East Coast
7182,60303,South East Coast
7183,60303,South East Coast
7184,60303,South East Coast
7185,60303,South East Coast
7186,60303,South East Coast
7187,60303,South East Coast
7190,60301,Central Highlands (Tas.)
7190,60303,South East Coast
7209,60203,North East
7210,60203,North East
7211,60203,North East
7212,60203,North East
7213,60203,North East
7213,60303,South East Coast
7214,60203,North East
7215,60203,North East
7215,60303,South East Coast
7216,60203,North East
7248,60201,Launceston
7248,60203,North East
7249,60201,Launceston
7250,60201,Launceston
7250,60202,Meander Valley - West Tamar
7252,60203,North East
7253,60203,North East
7254,60203,North East
7255,60203,North East
7256,60403,West Coast
7257,60203,North East
7258,60201,Launceston
7258,60203,North East
7259,60203,North East
7260,60203,North East
7261,60203,North East
7262,60203,North East
7263,60203,North East
7264,60203,North East
7265,60203,North East
7267,60203,North East
7268,60203,North East
7270,60202,Meander Valley - West Tamar
7275,60202,Meander Valley - West Tamar
7275,60402,Devonport
7276,60202,Meander Valley - West Tamar
7277,60201,Launceston
7277,60202,Meander Valley - West Tamar
7290,60202,Meander Valley - West Tamar
7291,60202,Meander Valley - West Tamar
7291,60203,North East
7292,60202,Meander Valley - West Tamar
7300,60203,North East
7301,60202,Meander Valley - West Tamar
7301,60203,North East
7302,60202,Meander Valley - West Tamar
7302,60203,North East
7303,60202,Meander Valley - West Tamar
7304,60202,Meander Valley - West Tamar
7304,60301,Central Highlands (Tas.)
7304,60402,Devonport
7305,60402,Devonport
7306,60202,Meander Valley - West Tamar
7306,60402,Devonport
7307,60402,Devonport
7310,60401,Burnie - Ulverstone
7310,60402,Devonport
7315,60401,Burnie - Ulverstone
7315,60402,Devonport
7316,60401,Burnie - Ulverstone
7320,60401,Burnie - Ulverstone
7321,60401,Burnie - Ulverstone
7321,60403,West Coast
7322,60401,Burnie - Ulverstone
7325,60401,Burnie - Ulverstone
7325,60403,West Coast
7330,60403,West Coast
7331,60403,West Coast
7466,60403,West Coast
7467,60403,West Coast
7468,60403,West Coast
7469,60403,West Coast
7470,60403,West Coast
