postcode,electorate,2016_score,2015_score,2014_score,2013_score,2012_score,2011_score
2530,Throsby,0,4,4,4,4.2,4.2
2533,Gilmore,6.3,6.5,6.5,6.5,6.3,6.3
2534,Gilmore,6.3,6.5,6.5,6.5,6.3,6.3
2535,Gilmore,6.3,6.5,6.5,6.5,6.3,6.3
2536,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2537,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2538,Gilmore,6.3,6.5,6.5,6.5,6.3,6.3
2539,Gilmore,6.3,6.5,6.5,6.5,6.3,6.3
2540,Fraser,0,4,4,4,4.2,4.2
2540,Gilmore,6.3,6.5,6.5,6.5,6.3,6.3
2541,Gilmore,6.3,6.5,6.5,6.5,6.3,6.3
2545,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2546,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2548,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2549,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2550,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2551,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2558,Macarthur,4,6.5,6.5,6.5,6.3,6.3
2559,Macarthur,4,6.5,6.5,6.5,6.3,6.3
2560,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2560,Macarthur,4,6.5,6.5,6.5,6.3,6.3
2560,Werriwa,4,4,4,4,4.2,4.2
2563,Macarthur,4,6.5,6.5,6.5,6.3,6.3
2564,Werriwa,4,4,4,4,4.2,4.2
2565,Werriwa,4,4,4,4,4.2,4.2
2566,Werriwa,4,4,4,4,4.2,4.2
2567,Macarthur,4,6.5,6.5,6.5,6.3,6.3
2568,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2569,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2570,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2570,Macarthur,4,6.5,6.5,6.5,6.3,6.3
2571,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2572,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2573,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2574,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2575,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2576,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2577,Gilmore,6.3,6.5,6.5,6.5,6.3,6.3
2577,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2578,Gilmore,6.3,6.5,6.5,6.5,6.3,6.3
2579,Gilmore,6.3,6.5,6.5,6.5,6.3,6.3
2579,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2580,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2581,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2582,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2583,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2583,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2584,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2585,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2586,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2587,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2588,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2590,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2594,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2600,Canberra,4,4,4,4,4.2,4.2
2600,Fraser,0,4,4,4,4.2,4.2
2601,Fraser,0,4,4,4,4.2,4.2
2602,Fraser,0,4,4,4,4.2,4.2
2603,Canberra,4,4,4,4,4.2,4.2
2603,Fraser,0,4,4,4,4.2,4.2
2604,Fraser,0,4,4,4,4.2,4.2
2605,Canberra,4,4,4,4,4.2,4.2
2606,Canberra,4,4,4,4,4.2,4.2
2607,Canberra,4,4,4,4,4.2,4.2
2609,Canberra,4,4,4,4,4.2,4.2
2609,Fraser,0,4,4,4,4.2,4.2
2611,Canberra,4,4,4,4,4.2,4.2
2612,Fraser,0,4,4,4,4.2,4.2
2614,Fraser,0,4,4,4,4.2,4.2
2615,Fraser,0,4,4,4,4.2,4.2
2617,Fraser,0,4,4,4,4.2,4.2
2618,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2618,Fraser,0,4,4,4,4.2,4.2
2619,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2620,Canberra,4,4,4,4,4.2,4.2
2620,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2620,Fraser,0,4,4,4,4.2,4.2
2620,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2621,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2622,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2623,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2624,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2625,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2626,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2627,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2628,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2630,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2630,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2631,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2632,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2633,Eden-Monaro,4,6.5,6.5,6.5,4.2,4.2
2640,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2641,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2642,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2643,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2644,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2645,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2646,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2647,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2648,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2649,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2650,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2651,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2652,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2652,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2653,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2655,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2656,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2658,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2659,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2660,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2661,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2663,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2665,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2665,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2666,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2668,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2669,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2669,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2671,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2672,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2675,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2680,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2681,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2700,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2700,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2701,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2702,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2703,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2705,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2706,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2707,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2710,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2711,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2711,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2712,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2713,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2714,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2715,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2716,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2717,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2720,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2721,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2722,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2725,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2726,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2727,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2729,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2729,Riverina,6.3,6.2,6.2,6.2,6.1,6.1
2730,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2731,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2732,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2733,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2734,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2735,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2736,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2737,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2738,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2739,Farrer,6.3,6.5,6.5,6.5,6.3,6.3
2745,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2745,Lindsay,4,6.5,6.5,6.5,4.2,4.2
2745,Macarthur,4,6.5,6.5,6.5,6.3,6.3
2747,Lindsay,4,6.5,6.5,6.5,4.2,4.2
2748,Lindsay,4,6.5,6.5,6.5,4.2,4.2
2749,Lindsay,4,6.5,6.5,6.5,4.2,4.2
2750,Lindsay,4,6.5,6.5,6.5,4.2,4.2
2752,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2753,Lindsay,4,6.5,6.5,6.5,4.2,4.2
2753,Macquarie,4,6.5,6.5,6.5,6.3,6.3
2754,Macquarie,4,6.5,6.5,6.5,6.3,6.3
2755,Macquarie,4,6.5,6.5,6.5,6.3,6.3
2756,Berowra,6.3,6.5,6.5,6.5,6.3,6.3
2756,Macquarie,4,6.5,6.5,6.5,6.3,6.3
2757,Macquarie,4,6.5,6.5,6.5,6.3,6.3
2758,Macquarie,4,6.5,6.5,6.5,6.3,6.3
2759,Lindsay,4,6.5,6.5,6.5,4.2,4.2
2759,Prospect,0,0,0,0,0,0
2760,Chifley,4,4,4,4,4.2,4.2
2761,Chifley,4,4,4,4,4.2,4.2
2761,Greenway,4,4,4,4,4.2,4.2
2762,Greenway,4,4,4,4,4.2,4.2
2763,Greenway,4,4,4,4,4.2,4.2
2764,Greenway,4,4,4,4,4.2,4.2
2765,Chifley,4,4,4,4,4.2,4.2
2765,Greenway,4,4,4,4,4.2,4.2
2765,Lindsay,4,6.5,6.5,6.5,4.2,4.2
2765,Macquarie,4,6.5,6.5,6.5,6.3,6.3
2765,Mitchell,6.3,6.5,6.5,6.5,6.3,6.3
2766,Chifley,4,4,4,4,4.2,4.2
2767,Chifley,4,4,4,4,4.2,4.2
2768,Greenway,4,4,4,4,4.2,4.2
2770,Chifley,4,4,4,4,4.2,4.2
2773,Lindsay,4,6.5,6.5,6.5,4.2,4.2
2774,Lindsay,4,6.5,6.5,6.5,4.2,4.2
2774,Macquarie,4,6.5,6.5,6.5,6.3,6.3
2775,Berowra,6.3,6.5,6.5,6.5,6.3,6.3
2775,Macquarie,4,6.5,6.5,6.5,6.3,6.3
2775,Robertson,6.3,6.5,6.5,6.5,4.2,4.2
2776,Macquarie,4,6.5,6.5,6.5,6.3,6.3
2777,Macquarie,4,6.5,6.5,6.5,6.3,6.3
2778,Macquarie,4,6.5,6.5,6.5,6.3,6.3
2779,Macquarie,4,6.5,6.5,6.5,6.3,6.3
2780,Macquarie,4,6.5,6.5,6.5,6.3,6.3
2782,Macquarie,4,6.5,6.5,6.5,6.3,6.3
2783,Macquarie,4,6.5,6.5,6.5,6.3,6.3
2784,Macquarie,4,6.5,6.5,6.5,6.3,6.3
2785,Macquarie,4,6.5,6.5,6.5,6.3,6.3
2786,Macquarie,4,6.5,6.5,6.5,6.3,6.3
2787,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2787,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2790,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2791,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2792,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2793,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2794,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2794,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2795,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2795,Gwydir,0,0,0,0,0,0
2797,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2798,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2799,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2800,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2803,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2804,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2805,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2806,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2806,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2807,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2808,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2808,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2809,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2810,Hume,6.3,6.5,6.5,6.5,6.3,6.3
2810,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2820,Gwydir,0,0,0,0,0,0
2821,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2823,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2824,Gwydir,0,0,0,0,0,0
2824,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2825,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2827,Gwydir,0,0,0,0,0,0
2828,Gwydir,0,0,0,0,0,0
2829,Gwydir,0,0,0,0,0,0
2830,Gwydir,0,0,0,0,0,0
2830,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2831,Gwydir,0,0,0,0,0,0
2831,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2832,Gwydir,0,0,0,0,0,0
2833,Gwydir,0,0,0,0,0,0
2834,Gwydir,0,0,0,0,0,0
2835,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2836,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2839,Gwydir,0,0,0,0,0,0
2840,Gwydir,0,0,0,0,0,0
2840,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2842,Gwydir,0,0,0,0,0,0
2843,Gwydir,0,0,0,0,0,0
2844,Gwydir,0,0,0,0,0,0
2845,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2846,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2847,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2848,Gwydir,0,0,0,0,0,0
2849,Gwydir,0,0,0,0,0,0
2850,Gwydir,0,0,0,0,0,0
2850,Hunter,4,4,4,4,4.2,4.2
2852,Gwydir,0,0,0,0,0,0
2864,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2865,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2866,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2866,Gwydir,0,0,0,0,0,0
2867,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2868,Calare,6.3,6.2,6.2,6.2,6.1,6.1
2868,Gwydir,0,0,0,0,0,0
2869,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2870,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2871,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2873,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2874,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2875,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2876,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2877,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2878,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2879,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2880,Parkes,6.3,6.2,6.2,6.2,6.1,6.1
2898,Sydney,4,4,4,4,4.2,4.2
2900,Canberra,4,4,4,4,4.2,4.2
2902,Canberra,4,4,4,4,4.2,4.2
2903,Canberra,4,4,4,4,4.2,4.2
2904,Canberra,4,4,4,4,4.2,4.2
2905,Canberra,4,4,4,4,4.2,4.2
2906,Canberra,4,4,4,4,4.2,4.2
2911,Fraser,0,4,4,4,4.2,4.2
2912,Fraser,0,4,4,4,4.2,4.2
2913,Fraser,0,4,4,4,4.2,4.2
2914,Fraser,0,4,4,4,4.2,4.2
3000,Melbourne,3,3,3,3,3.3,3.3
3002,Melbourne,3,3,3,3,3.3,3.3
3003,Melbourne,3,3,3,3,3.3,3.3
3004,Melbourne Ports,4,4,4,4,4.2,4.2
3005,Melbourne,3,3,3,3,3.3,3.3
3006,Melbourne Ports,4,4,4,4,4.2,4.2
3008,Melbourne,3,3,3,3,3.3,3.3
3010,Melbourne,3,3,3,3,3.3,3.3
3011,Gellibrand,4,4,4,4,4.2,4.2
3012,Gellibrand,4,4,4,4,4.2,4.2
3013,Gellibrand,4,4,4,4,4.2,4.2
3015,Gellibrand,4,4,4,4,4.2,4.2
3016,Gellibrand,4,4,4,4,4.2,4.2
3018,Gellibrand,4,4,4,4,4.2,4.2
3019,Gellibrand,4,4,4,4,4.2,4.2
3020,Gorton,4,4,4,4,4.2,4.2
3020,Maribyrnong,4,4,4,4,4.2,4.2
3021,Gorton,4,4,4,4,4.2,4.2
3021,Maribyrnong,4,4,4,4,4.2,4.2
3022,Gorton,4,4,4,4,4.2,4.2
3023,Gorton,4,4,4,4,4.2,4.2
3024,Lalor,4,4,4,4,4.2,4.2
3025,Gellibrand,4,4,4,4,4.2,4.2
3027,Lalor,4,4,4,4,4.2,4.2
3028,Gellibrand,4,4,4,4,4.2,4.2
3028,Lalor,4,4,4,4,4.2,4.2
3029,Lalor,4,4,4,4,4.2,4.2
3030,Lalor,4,4,4,4,4.2,4.2
3031,Melbourne,3,3,3,3,3.3,3.3
3032,Gellibrand,4,4,4,4,4.2,4.2
3032,Maribyrnong,4,4,4,4,4.2,4.2
3032,Melbourne,3,3,3,3,3.3,3.3
3033,Maribyrnong,4,4,4,4,4.2,4.2
3034,Maribyrnong,4,4,4,4,4.2,4.2
3036,Gorton,4,4,4,4,4.2,4.2
3037,Gorton,4,4,4,4,4.2,4.2
3038,Gorton,4,4,4,4,4.2,4.2
3039,Maribyrnong,4,4,4,4,4.2,4.2
3040,Maribyrnong,4,4,4,4,4.2,4.2
3041,Maribyrnong,4,4,4,4,4.2,4.2
3041,Wills,4,4,4,4,4.2,4.2
3042,Maribyrnong,4,4,4,4,4.2,4.2
3043,Calwell,4,4,4,4,4.2,4.2
3043,Wills,4,4,4,4,4.2,4.2
3044,Wills,4,4,4,4,4.2,4.2
3045,Calwell,4,4,4,4,4.2,4.2
3046,Wills,4,4,4,4,4.2,4.2
3047,Calwell,4,4,4,4,4.2,4.2
3048,Calwell,4,4,4,4,4.2,4.2
3049,Calwell,4,4,4,4,4.2,4.2
3050,Melbourne,3,3,3,3,3.3,3.3
3051,Melbourne,3,3,3,3,3.3,3.3
3052,Melbourne,3,3,3,3,3.3,3.3
3053,Melbourne,3,3,3,3,3.3,3.3
3054,Melbourne,3,3,3,3,3.3,3.3
3055,Wills,4,4,4,4,4.2,4.2
3056,Melbourne,3,3,3,3,3.3,3.3
3056,Wills,4,4,4,4,4.2,4.2
3057,Melbourne,3,3,3,3,3.3,3.3
3057,Wills,4,4,4,4,4.2,4.2
3058,Wills,4,4,4,4,4.2,4.2
3059,Calwell,4,4,4,4,4.2,4.2
3060,Wills,4,4,4,4,4.2,4.2
3061,Calwell,4,4,4,4,4.2,4.2
3063,Calwell,4,4,4,4,4.2,4.2
3064,Calwell,4,4,4,4,4.2,4.2
3065,Melbourne,3,3,3,3,3.3,3.3
3066,Melbourne,3,3,3,3,3.3,3.3
3067,Melbourne,3,3,3,3,3.3,3.3
3068,Melbourne,3,3,3,3,3.3,3.3
3070,Batman,4,4,4,4,4.2,4.2
3071,Batman,4,4,4,4,4.2,4.2
3072,Batman,4,4,4,4,4.2,4.2
3073,Batman,4,4,4,4,4.2,4.2
3074,Scullin,4,4,4,4,4.2,4.2
3075,Scullin,4,4,4,4,4.2,4.2
3076,McEwen,4,4,4,4,4.2,4.2
3076,Scullin,4,4,4,4,4.2,4.2
3078,Batman,4,4,4,4,4.2,4.2
3078,Melbourne,3,3,3,3,3.3,3.3
3079,Jagajaga,4,4,4,4,4.2,4.2
3081,Jagajaga,4,4,4,4,4.2,4.2
3082,Scullin,4,4,4,4,4.2,4.2
3083,Batman,4,4,4,4,4.2,4.2
3083,Jagajaga,4,4,4,4,4.2,4.2
3083,Scullin,4,4,4,4,4.2,4.2
3084,Jagajaga,4,4,4,4,4.2,4.2
3085,Jagajaga,4,4,4,4,4.2,4.2
3086,Batman,4,4,4,4,4.2,4.2
3087,Jagajaga,4,4,4,4,4.2,4.2
3087,Scullin,4,4,4,4,4.2,4.2
3088,Jagajaga,4,4,4,4,4.2,4.2
3088,Scullin,4,4,4,4,4.2,4.2
3089,Jagajaga,4,4,4,4,4.2,4.2
3089,McEwen,4,4,4,4,4.2,4.2
3089,Scullin,4,4,4,4,4.2,4.2
3090,Scullin,4,4,4,4,4.2,4.2
3091,McEwen,4,4,4,4,4.2,4.2
3093,Jagajaga,4,4,4,4,4.2,4.2
3094,Jagajaga,4,4,4,4,4.2,4.2
3095,Jagajaga,4,4,4,4,4.2,4.2
3095,McEwen,4,4,4,4,4.2,4.2
3096,McEwen,4,4,4,4,4.2,4.2
3097,McEwen,4,4,4,4,4.2,4.2
3099,McEwen,4,4,4,4,4.2,4.2
3101,Kooyong,6.3,6.5,6.5,6.5,6.3,6.3
3102,Kooyong,6.3,6.5,6.5,6.5,6.3,6.3
3103,Kooyong,6.3,6.5,6.5,6.5,6.3,6.3
3104,Chisholm,6.3,4,4,4,4.2,4.2
3104,Kooyong,6.3,6.5,6.5,6.5,6.3,6.3
3105,Menzies,6.3,6.5,6.5,6.5,6.3,6.3
3106,Menzies,6.3,6.5,6.5,6.5,6.3,6.3
3107,Menzies,6.3,6.5,6.5,6.5,6.3,6.3
3108,Menzies,6.3,6.5,6.5,6.5,6.3,6.3
3109,Menzies,6.3,6.5,6.5,6.5,6.3,6.3
3111,Menzies,6.3,6.5,6.5,6.5,6.3,6.3
3113,Jagajaga,4,4,4,4,4.2,4.2
3113,Menzies,6.3,6.5,6.5,6.5,6.3,6.3
3114,Menzies,6.3,6.5,6.5,6.5,6.3,6.3
3115,Casey,6.3,6.5,6.5,6.5,6.3,6.3
3115,Menzies,6.3,6.5,6.5,6.5,6.3,6.3
3116,Casey,6.3,6.5,6.5,6.5,6.3,6.3
3121,Melbourne,3,3,3,3,3.3,3.3
3122,Kooyong,6.3,6.5,6.5,6.5,6.3,6.3
3123,Kooyong,6.3,6.5,6.5,6.5,6.3,6.3
3124,Higgins,6.3,6.5,6.5,6.5,6.3,6.3
3124,Kooyong,6.3,6.5,6.5,6.5,6.3,6.3
3125,Chisholm,6.3,4,4,4,4.2,4.2
3125,Higgins,6.3,6.5,6.5,6.5,6.3,6.3
3125,Kooyong,6.3,6.5,6.5,6.5,6.3,6.3
3126,Kooyong,6.3,6.5,6.5,6.5,6.3,6.3
3127,Chisholm,6.3,4,4,4,4.2,4.2
3127,Kooyong,6.3,6.5,6.5,6.5,6.3,6.3
3128,Chisholm,6.3,4,4,4,4.2,4.2
3129,Chisholm,6.3,4,4,4,4.2,4.2
3129,Kooyong,6.3,6.5,6.5,6.5,6.3,6.3
3130,Deakin,6.3,6.5,6.5,6.5,4.2,4.2
3131,Aston,6.3,6.5,6.5,6.5,6.3,6.3
3131,Deakin,6.3,6.5,6.5,6.5,4.2,4.2
3131,Menzies,6.3,6.5,6.5,6.5,6.3,6.3
3132,Deakin,6.3,6.5,6.5,6.5,4.2,4.2
3132,Menzies,6.3,6.5,6.5,6.5,6.3,6.3
3133,Aston,6.3,6.5,6.5,6.5,6.3,6.3
3133,Deakin,6.3,6.5,6.5,6.5,4.2,4.2
3134,Deakin,6.3,6.5,6.5,6.5,4.2,4.2
3134,Menzies,6.3,6.5,6.5,6.5,6.3,6.3
3135,Casey,6.3,6.5,6.5,6.5,6.3,6.3
3135,Deakin,6.3,6.5,6.5,6.5,4.2,4.2
3136,Casey,6.3,6.5,6.5,6.5,6.3,6.3
3136,Deakin,6.3,6.5,6.5,6.5,4.2,4.2
3137,Casey,6.3,6.5,6.5,6.5,6.3,6.3
3138,Casey,6.3,6.5,6.5,6.5,6.3,6.3
3139,Casey,6.3,6.5,6.5,6.5,6.3,6.3
3139,McEwen,4,4,4,4,4.2,4.2
3140,Casey,6.3,6.5,6.5,6.5,6.3,6.3
3141,Higgins,6.3,6.5,6.5,6.5,6.3,6.3
3141,Melbourne Ports,4,4,4,4,4.2,4.2
3142,Higgins,6.3,6.5,6.5,6.5,6.3,6.3
3143,Higgins,6.3,6.5,6.5,6.5,6.3,6.3
3144,Higgins,6.3,6.5,6.5,6.5,6.3,6.3
3145,Higgins,6.3,6.5,6.5,6.5,6.3,6.3
3145,Melbourne Ports,4,4,4,4,4.2,4.2
3146,Higgins,6.3,6.5,6.5,6.5,6.3,6.3
3146,Kooyong,6.3,6.5,6.5,6.5,6.3,6.3
3147,Chisholm,6.3,4,4,4,4.2,4.2
3147,Higgins,6.3,6.5,6.5,6.5,6.3,6.3
3148,Chisholm,6.3,4,4,4,4.2,4.2
3148,Higgins,6.3,6.5,6.5,6.5,6.3,6.3
3149,Chisholm,6.3,4,4,4,4.2,4.2
3150,Bruce,4,4,4,4,4.2,4.2
3150,Chisholm,6.3,4,4,4,4.2,4.2
3151,Deakin,6.3,6.5,6.5,6.5,4.2,4.2
3152,Aston,6.3,6.5,6.5,6.5,6.3,6.3
3153,Aston,6.3,6.5,6.5,6.5,6.3,6.3
3153,Casey,6.3,6.5,6.5,6.5,6.3,6.3
3153,Deakin,6.3,6.5,6.5,6.5,4.2,4.2
3153,La Trobe,6.3,6.5,6.5,6.5,4.2,4.2
3154,La Trobe,6.3,6.5,6.5,6.5,4.2,4.2
3155,Aston,6.3,6.5,6.5,6.5,6.3,6.3
3155,La Trobe,6.3,6.5,6.5,6.5,4.2,4.2
3156,Aston,6.3,6.5,6.5,6.5,6.3,6.3
3156,Holt,4,4,4,4,4.2,4.2
3156,La Trobe,6.3,6.5,6.5,6.5,4.2,4.2
3158,La Trobe,6.3,6.5,6.5,6.5,4.2,4.2
3159,La Trobe,6.3,6.5,6.5,6.5,4.2,4.2
3160,La Trobe,6.3,6.5,6.5,6.5,4.2,4.2
3161,Melbourne Ports,4,4,4,4,4.2,4.2
3162,Goldstein,6.3,6.5,6.5,6.5,6.3,6.3
3162,Melbourne Ports,4,4,4,4,4.2,4.2
3163,Goldstein,6.3,6.5,6.5,6.5,6.3,6.3
