"postcode","total_tax","num_individuals","mean_tax_000s","year"
2000,1537733328,34525,44.54,"2013"
2006,8637643,130,66.444,"2013"
2007,230204999,4690,49.085,"2013"
2008,236880238,4605,51.44,"2013"
2009,730374492,9400,77.7,"2013"
2010,1385557353,19080,72.619,"2013"
2011,1175221329,14535,80.855,"2013"
2015,456502638,6590,69.273,"2013"
2016,486290005,7775,62.546,"2013"
2017,535472563,9155,58.49,"2013"
2018,417082471,8210,50.802,"2013"
2019,317164150,5445,58.249,"2013"
2020,393604487,7510,52.411,"2013"
2021,1085316017,10530,103.069,"2013"
2022,665680181,8965,74.254,"2013"
2023,993915736,6945,143.113,"2013"
2024,713284314,7280,97.979,"2013"
2025,651267907,5150,126.46,"2013"
2026,1823089852,23245,78.43,"2013"
2027,1061888796,5980,177.574,"2013"
2028,377377495,3340,112.988,"2013"
2029,709058764,6840,103.664,"2013"
2030,1336880532,9610,139.114,"2013"
2031,1778534379,22385,79.453,"2013"
2032,457530449,8385,54.566,"2013"
2033,455426240,6830,66.681,"2013"
2034,1065170045,13700,77.75,"2013"
2035,1279851810,20200,63.36,"2013"
2036,859276868,15200,56.532,"2013"
2037,621717862,8675,71.668,"2013"
2038,475414499,5760,82.538,"2013"
2039,489580371,5530,88.532,"2013"
2040,964040660,12750,75.612,"2013"
2041,1147419029,10515,109.123,"2013"
2042,777285016,12280,63.297,"2013"
2043,346873822,4750,73.027,"2013"
2044,267272916,4775,55.974,"2013"
2045,322480140,4000,80.621,"2013"
2046,1125571849,15955,70.547,"2013"
2047,638069408,7495,85.133,"2013"
2048,336444167,4900,68.663,"2013"
2049,418829510,6425,65.188,"2013"
2050,349821743,4725,74.037,"2013"
2052,4737209,140,33.838,"2013"
2060,1000378146,9810,101.976,"2013"
2061,458530807,4195,109.305,"2013"
2062,438580712,4700,93.316,"2013"
2063,546487103,4180,130.739,"2013"
2064,454038219,5990,75.8,"2013"
2065,1741293177,19645,88.638,"2013"
2066,1638136154,17795,92.056,"2013"
2067,961264074,15095,63.681,"2013"
2068,1096407086,10295,106.499,"2013"
2069,976799395,8985,108.715,"2013"
2070,853721499,8275,103.169,"2013"
2071,851056005,8380,101.558,"2013"
2072,415502768,4795,86.654,"2013"
