SA3 Code,SA3_Name,Year,Remoteness ,State,Latitude,Longitude,Estimated Resident Population,Patent applicants (total),"Patent applicants (per 10,000 residents)",Trademark applicants (total),"Trademark applicants (per 10,000 residents)",New business entries,"New business entries (per 10,000 residents)",Business Research and Development Expenditure,Unemployed (total),Labour force (total),"Postgraduate Degree Level (total, 2011)","Graduate Diploma and Graduate Certificate Level (total, 2011)","Bachelor Degree Level (total, 2011)","Advanced Diploma and Diploma Level (total, 2011)","Certificate Level (total, 2011)","Year 12 or equivalent (total, 2011)","Did not go to school (total, 2011)",Accommodation and Food Services (count of businesses),Administrative and Support Services (count of businesses),"Agriculture, Forestry and Fishing (count of businesses)",Arts and Recreation Services (count of businesses),Construction (count of businesses),Education and Training (count of businesses),"Electricity, Gas, Water and Waste Services (count of businesses)",Financial and Insurance Services (count of businesses),Health Care and Social Assistance (count of businesses),Information Media and Telecommunications (count of businesses),Manufacturing (count of businesses),Mining (count of businesses),"Professional, Scientific and Technical Services (count of businesses)",Public Administration and Safety (count of businesses),"Rental, Hiring and Real Estate Services (count of businesses)",Retail Trade (count of businesses),"Transport, Postal and Warehousing (count of businesses)",Wholesale Trade (count of businesses),Top industry (by count of businesses),Count of University Campuses (2015),Count of TAFEs (2015),Count of Research Institutes (2015)
10101,Goulburn - Yass,2009,Inner Regional Australia,New South Wales,-34.55398674,149.0763309,67745,33,4.9,130,19.2,783,115.6,2160700,NA,NA,1095,789,4687,3777,11410,18557,226,271,156,2841,68,957,51,18,241,188,21,219,15,467,15,405,447,425,171,"Agriculture, Forestry and Fishing",1,3,0
10101,Goulburn - Yass,2010,Inner Regional Australia,New South Wales,-34.55398674,149.0763309,68950,26,3.8,186,27.0,912,132.3,1914102,1709,34647,1095,789,4687,3777,11410,18557,226,274,169,2881,67,966,57,18,257,213,24,245,12,481,28,399,467,419,167,"Agriculture, Forestry and Fishing",1,3,0
10101,Goulburn - Yass,2011,Inner Regional Australia,New South Wales,-34.55398674,149.0763309,69775,30,4.3,86,12.3,785,112.5,1363185,1069,36856,1095,789,4687,3777,11410,18557,226,270,173,2947,84,1011,63,20,287,199,25,239,18,519,19,415,466,408,165,"Agriculture, Forestry and Fishing",1,3,0
10101,Goulburn - Yass,2012,Inner Regional Australia,New South Wales,-34.55398674,149.0763309,70811,20,2.8,80,11.3,780,110.2,2739540,1278,37375,1095,789,4687,3777,11410,18557,226,263,186,2851,73,985,47,21,304,225,9,225,12,519,9,422,449,408,163,"Agriculture, Forestry and Fishing",1,3,0
10101,Goulburn - Yass,2013,Inner Regional Australia,New South Wales,-34.55398674,149.0763309,71629,28,3.9,74,10.3,620,86.6,3996288,1476,35107,1095,789,4687,3777,11410,18557,226,237,166,2857,77,957,58,21,296,220,12,214,21,501,15,420,435,403,160,"Agriculture, Forestry and Fishing",1,3,0
10101,Goulburn - Yass,2014,Inner Regional Australia,New South Wales,-34.55398674,149.0763309,72046,12,1.7,74,10.3,783,108.7,4160554,1961,35580,1095,789,4687,3777,11410,18557,226,234,151,2896,86,988,48,21,308,227,15,219,21,484,15,430,423,406,169,"Agriculture, Forestry and Fishing",1,3,0
10101,Goulburn - Yass,2015,Inner Regional Australia,New South Wales,-34.55398674,149.0763309,72420,12,1.7,86,11.9,NA,NA,NA,1383,36493,1095,789,4687,3777,11410,18557,226,254,148,2873,96,1007,57,24,314,227,15,211,15,489,9,422,394,397,169,"Agriculture, Forestry and Fishing",1,3,0
10102,Queanbeyan,2009,Major Cities of Australia,New South Wales,-35.44938606,149.601273,54354,16,2.9,67,12.3,614,113.0,3009939,NA,NA,2189,1129,5568,3808,8112,22107,202,158,140,598,78,1079,52,6,152,124,27,191,9,477,15,336,272,302,105,Construction,0,1,1
10102,Queanbeyan,2010,Major Cities of Australia,New South Wales,-35.44938606,149.601273,55410,14,2.5,50,9.0,739,133.4,4526206,619,33153,2189,1129,5568,3808,8112,22107,202,173,142,615,77,1110,74,18,182,143,31,210,6,519,9,340,277,319,102,Construction,0,1,1
10102,Queanbeyan,2011,Major Cities of Australia,New South Wales,-35.44938606,149.601273,56051,16,2.9,61,10.9,588,104.9,5059517,409,35333,2189,1129,5568,3808,8112,22107,202,157,158,613,79,1145,65,27,179,127,32,218,7,527,21,368,253,321,103,Construction,0,1,1
10102,Queanbeyan,2012,Major Cities of Australia,New South Wales,-35.44938606,149.601273,56563,22,3.9,90,15.9,561,99.2,8352979,512,35680,2189,1129,5568,3808,8112,22107,202,146,157,622,80,1110,68,15,199,135,33,215,12,520,14,388,260,317,103,Construction,0,1,1
10102,Queanbeyan,2013,Major Cities of Australia,New South Wales,-35.44938606,149.601273,57081,13,2.3,57,10.0,497,87.1,7975478,643,33472,2189,1129,5568,3808,8112,22107,202,156,147,605,76,1104,67,15,197,132,22,190,15,497,11,385,236,324,94,Construction,0,1,1
10102,Queanbeyan,2014,Major Cities of Australia,New South Wales,-35.44938606,149.601273,57590,9,1.6,39,6.8,589,102.3,8301550,914,34054,2189,1129,5568,3808,8112,22107,202,151,157,617,62,1118,57,15,209,129,27,198,9,499,15,393,230,323,101,Construction,0,1,1
10102,Queanbeyan,2015,Major Cities of Australia,New South Wales,-35.44938606,149.601273,57847,11,1.9,86,14.9,NA,NA,NA,659,34927,2189,1129,5568,3808,8112,22107,202,148,151,577,68,1114,69,21,242,130,25,197,6,484,9,400,224,330,85,Construction,0,1,1
10103,Snowy Mountains,2009,Outer Regional Australia,New South Wales,-36.43958098,148.9415727,19501,5,2.6,14,7.2,227,116.4,120471,NA,NA,303,225,1434,1076,3593,5859,42,197,64,741,15,397,34,6,74,71,6,75,,154,6,151,150,114,55,"Agriculture, Forestry and Fishing",0,1,0
10103,Snowy Mountains,2010,Outer Regional Australia,New South Wales,-36.43958098,148.9415727,19577,10,5.1,12,6.1,285,145.6,0,399,10570,303,225,1434,1076,3593,5859,42,192,67,761,24,383,24,12,75,70,12,85,6,159,3,170,154,122,64,"Agriculture, Forestry and Fishing",0,1,0
10103,Snowy Mountains,2011,Outer Regional Australia,New South Wales,-36.43958098,148.9415727,19595,9,4.6,27,13.8,254,129.6,109711,253,11099,303,225,1434,1076,3593,5859,42,197,85,764,24,390,25,4,81,66,9,73,9,170,6,168,154,126,53,"Agriculture, Forestry and Fishing",0,1,0
10103,Snowy Mountains,2012,Outer Regional Australia,New South Wales,-36.43958098,148.9415727,19739,9,4.6,15,7.6,238,120.6,60000,297,11221,303,225,1434,1076,3593,5859,42,196,70,776,36,372,22,3,87,73,15,71,,165,3,169,145,128,44,"Agriculture, Forestry and Fishing",0,1,0
10103,Snowy Mountains,2013,Outer Regional Australia,New South Wales,-36.43958098,148.9415727,19765,6,3.0,27,13.7,208,105.2,931147,367,10447,303,225,1434,1076,3593,5859,42,199,77,758,28,365,25,6,91,66,9,68,3,157,3,170,149,118,54,"Agriculture, Forestry and Fishing",0,1,0
10103,Snowy Mountains,2014,Outer Regional Australia,New South Wales,-36.43958098,148.9415727,19911,7,3.5,25,12.6,242,121.5,357975,469,10615,303,225,1434,1076,3593,5859,42,207,67,751,23,360,24,9,95,74,6,73,6,167,3,172,152,119,52,"Agriculture, Forestry and Fishing",0,1,0
10103,Snowy Mountains,2015,Outer Regional Australia,New South Wales,-36.43958098,148.9415727,19949,5,2.5,29,14.5,NA,NA,NA,328,10885,303,225,1434,1076,3593,5859,42,194,66,739,23,373,27,6,103,81,9,65,6,169,6,170,155,118,49,"Agriculture, Forestry and Fishing",0,1,0
10104,South Coast,2009,Outer Regional Australia,New South Wales,-36.49930235,149.806337,69214,18,2.6,36,5.2,623,90.0,1940417,NA,NA,929,995,4946,4086,12920,18978,168,426,176,837,103,1275,70,39,222,241,31,253,18,396,24,498,619,312,134,Construction,2,2,0
10104,South Coast,2010,Outer Regional Australia,New South Wales,-36.49930235,149.806337,69989,15,2.1,49,7.0,683,97.6,5955778,2310,29948,929,995,4946,4086,12920,18978,168,415,175,838,102,1286,57,24,261,241,26,261,3,395,30,508,586,323,146,Construction,2,2,0
10104,South Coast,2011,Outer Regional Australia,New South Wales,-36.49930235,149.806337,70407,14,2.0,45,6.4,598,84.9,5622038,1449,31712,929,995,4946,4086,12920,18978,168,433,174,824,91,1265,61,16,248,263,45,241,9,442,21,518,574,322,125,Construction,2,2,0
10104,South Coast,2012,Outer Regional Australia,New South Wales,-36.49930235,149.806337,70561,10,1.4,58,8.2,603,85.5,7158869,1757,31814,929,995,4946,4086,12920,18978,168,445,196,803,91,1265,64,21,251,266,28,229,9,420,15,531,566,298,124,Construction,2,2,0
10104,South Coast,2013,Outer Regional Australia,New South Wales,-36.49930235,149.806337,70742,7,1.0,50,7.1,479,67.7,3520651,2034,29682,929,995,4946,4086,12920,18978,168,429,182,813,67,1182,69,18,249,273,24,220,6,425,12,515,528,315,112,Construction,2,2,0
10104,South Coast,2014,Outer Regional Australia,New South Wales,-36.49930235,149.806337,71261,7,1.0,66,9.3,540,75.8,4134800,2725,30145,929,995,4946,4086,12920,18978,168,427,184,778,68,1162,52,21,273,282,27,225,6,427,18,503,518,291,101,Construction,2,2,0
10104,South Coast,2015,Outer Regional Australia,New South Wales,-36.49930235,149.806337,71551,11,1.5,92,12.9,NA,NA,NA,1854,30920,929,995,4946,4086,12920,18978,168,428,168,761,68,1127,57,25,270,292,30,224,12,412,15,488,499,283,117,Construction,2,2,0
10201,Gosford,2009,Major Cities of Australia,New South Wales,-33.36541784,151.2181666,167081,57,3.4,235,14.1,1805,108.0,17655317,NA,NA,3094,1870,14118,11714,29114,53973,323,466,571,411,220,2863,190,51,864,848,162,622,24,1751,67,1406,952,570,452,Construction,1,1,0
10201,Gosford,2010,Major Cities of Australia,New South Wales,-33.36541784,151.2181666,168351,70,4.2,286,17.0,2039,121.1,19068071,3535,82471,3094,1870,14118,11714,29114,53973,323,489,554,413,240,2852,210,33,891,821,118,594,30,1808,61,1471,942,558,460,Construction,1,1,0
10201,Gosford,2011,Major Cities of Australia,New South Wales,-33.36541784,151.2181666,169018,52,3.1,272,16.1,1842,109.0,18392912,3875,77920,3094,1870,14118,11714,29114,53973,323,494,583,383,245,2828,211,43,982,872,147,592,28,1887,55,1503,950,574,468,Construction,1,1,0
10201,Gosford,2012,Major Cities of Australia,New South Wales,-33.36541784,151.2181666,170278,66,3.9,274,16.1,1631,95.8,17575168,4019,82973,3094,1870,14118,11714,29114,53973,323,477,562,373,232,2775,199,62,956,914,143,585,24,1852,58,1455,945,536,449,Construction,1,1,0
10201,Gosford,2013,Major Cities of Australia,New South Wales,-33.36541784,151.2181666,171406,68,4.0,294,17.2,1369,79.9,31321254,4515,87684,3094,1870,14118,11714,29114,53973,323,454,523,356,221,2666,204,39,994,901,131,561,19,1775,63,1406,889,498,429,Construction,1,1,0
10201,Gosford,2014,Major Cities of Australia,New South Wales,-33.36541784,151.2181666,172643,72,4.2,302,17.5,1616,93.6,29430955,4539,84817,3094,1870,14118,11714,29114,53973,323,484,531,344,217,2641,202,51,1032,934,140,559,36,1741,63,1390,888,502,436,Construction,1,1,0
10201,Gosford,2015,Major Cities of Australia,New South Wales,-33.36541784,151.2181666,173931,37,2.1,370,21.3,NA,NA,NA,4674,89756,3094,1870,14118,11714,29114,53973,323,510,530,330,224,2638,203,50,1053,976,141,524,30,1737,59,1364,845,503,425,Construction,1,1,0
10202,Wyong,2009,Major Cities of Australia,New South Wales,-33.22581893,151.3816976,149715,22,1.5,181,12.1,1266,84.6,10821111,NA,NA,1218,964,7372,7863,28698,35699,434,349,405,209,138,2215,123,45,387,343,52,403,12,835,42,734,661,679,267,Construction,2,2,0
10202,Wyong,2010,Major Cities of Australia,New South Wales,-33.22581893,151.3816976,152010,31,2.0,143,9.4,1388,91.3,16384824,4558,68779,1218,964,7372,7863,28698,35699,434,354,415,231,146,2213,118,39,440,374,50,429,12,858,48,756,663,598,268,Construction,2,2,0
10202,Wyong,2011,Major Cities of Australia,New South Wales,-33.22581893,151.3816976,153639,33,2.1,158,10.3,1333,86.8,14019013,5236,65641,1218,964,7372,7863,28698,35699,434,353,398,232,125,2186,137,32,461,386,54,434,12,881,56,744,703,606,272,Construction,2,2,0
10202,Wyong,2012,Major Cities of Australia,New South Wales,-33.22581893,151.3816976,155140,36,2.3,135,8.7,1165,75.1,6928918,5334,69995,1218,964,7372,7863,28698,35699,434,356,377,204,113,2085,138,49,465,387,66,411,15,858,64,714,641,580,268,Construction,2,2,0
10202,Wyong,2013,Major Cities of Australia,New South Wales,-33.22581893,151.3816976,156559,21,1.3,105,6.7,996,63.6,10800895,5815,74230,1218,964,7372,7863,28698,35699,434,349,377,189,119,1992,136,42,472,377,55,375,6,808,42,720,617,541,267,Construction,2,2,0
10202,Wyong,2014,Major Cities of Australia,New South Wales,-33.22581893,151.3816976,158160,20,1.3,158,10.0,1278,80.8,11578261,6120,72104,1218,964,7372,7863,28698,35699,434,383,360,185,115,2042,138,39,533,410,65,374,18,841,45,737,622,541,272,Construction,2,2,0
10202,Wyong,2015,Major Cities of Australia,New South Wales,-33.22581893,151.3816976,159188,17,1.1,158,9.9,NA,NA,NA,6514,76291,1218,964,7372,7863,28698,35699,434,397,343,185,116,2082,146,45,545,413,52,355,12,825,52,751,588,517,265,Construction,2,2,0
10301,Bathurst,2009,Inner Regional Australia,New South Wales,-33.6304258,149.6382815,44095,6,1.4,19,4.3,409,92.8,4095330,NA,NA,763,502,3390,2328,7770,13512,120,147,100,913,48,613,42,6,186,155,15,139,15,274,12,329,267,248,80,"Agriculture, Forestry and Fishing",1,1,1
10301,Bathurst,2010,Inner Regional Australia,New South Wales,-33.6304258,149.6382815,44711,13,2.9,30,6.7,483,108.0,9552398,1186,24863,763,502,3390,2328,7770,13512,120,147,115,941,58,626,38,12,185,146,21,135,24,292,18,335,253,248,78,"Agriculture, Forestry and Fishing",1,1,1
10301,Bathurst,2011,Inner Regional Australia,New South Wales,-33.6304258,149.6382815,45176,14,3.1,41,9.1,434,96.1,4089330,1009,23175,763,502,3390,2328,7770,13512,120,147,111,955,56,633,43,15,191,154,18,128,12,290,6,344,250,257,91,"Agriculture, Forestry and Fishing",1,1,1
10301,Bathurst,2012,Inner Regional Australia,New South Wales,-33.6304258,149.6382815,45575,1,0.2,67,14.7,404,88.6,1069327,1395,22887,763,502,3390,2328,7770,13512,120,157,114,946,48,635,49,12,192,152,16,134,19,292,13,353,241,249,86,"Agriculture, Forestry and Fishing",1,1,1
10301,Bathurst,2013,Inner Regional Australia,New South Wales,-33.6304258,149.6382815,46277,1,0.2,91,19.7,379,81.9,980461,1436,24730,763,502,3390,2328,7770,13512,120,166,110,935,47,644,48,9,191,159,16,131,18,279,9,353,228,252,82,"Agriculture, Forestry and Fishing",1,1,1
10301,Bathurst,2014,Inner Regional Australia,New South Wales,-33.6304258,149.6382815,46968,4,0.9,32,6.8,415,88.4,1148285,1334,24641,763,502,3390,2328,7770,13512,120,170,115,938,42,649,49,6,192,164,23,131,15,288,6,335,219,247,88,"Agriculture, Forestry and Fishing",1,1,1
10301,Bathurst,2015,Inner Regional Australia,New South Wales,-33.6304258,149.6382815,47540,15,3.2,28,5.9,NA,NA,NA,1582,25462,763,502,3390,2328,7770,13512,120,170,109,912,48,654,48,12,201,179,24,143,18,283,12,341,203,236,85,"Agriculture, Forestry and Fishing",1,1,1
10302,Lachlan Valley,2009,Outer Regional Australia,New South Wales,-33.32604413,147.4703246,56242,10,1.8,51,9.1,550,97.8,959814,NA,NA,316,364,2835,2374,8871,11984,192,246,70,3064,55,618,18,21,181,118,18,200,24,203,15,339,424,420,172,"Agriculture, Forestry and Fishing",0,7,1
10302,Lachlan Valley,2010,Outer Regional Australia,New South Wales,-33.32604413,147.4703246,56397,11,2.0,57,10.1,609,108.0,871086,1585,28721,316,364,2835,2374,8871,11984,192,231,90,3070,38,601,21,32,189,117,21,218,22,191,21,342,451,410,169,"Agriculture, Forestry and Fishing",0,7,1
10302,Lachlan Valley,2011,Outer Regional Australia,New South Wales,-33.32604413,147.4703246,56545,12,2.1,43,7.6,537,95.0,878652,1409,26627,316,364,2835,2374,8871,11984,192,242,115,3119,46,605,31,30,196,122,21,204,16,193,12,359,422,407,187,"Agriculture, Forestry and Fishing",0,7,1
10302,Lachlan Valley,2012,Outer Regional Australia,New South Wales,-33.32604413,147.4703246,56934,16,2.8,54,9.5,594,104.3,554971,2094,26280,316,364,2835,2374,8871,11984,192,245,109,3002,42,578,24,19,206,130,12,208,15,202,15,372,405,386,182,"Agriculture, Forestry and Fishing",0,7,1
10302,Lachlan Valley,2013,Outer Regional Australia,New South Wales,-33.32604413,147.4703246,56883,14,2.5,62,10.9,487,85.6,1534516,2157,27928,316,364,2835,2374,8871,11984,192,240,103,3001,39,568,30,27,198,130,9,207,15,194,15,375,377,395,177,"Agriculture, Forestry and Fishing",0,7,1
10302,Lachlan Valley,2014,Outer Regional Australia,New South Wales,-33.32604413,147.4703246,57128,9,1.6,37,6.5,639,111.9,2073344,2018,27562,316,364,2835,2374,8871,11984,192,254,94,3060,48,586,36,29,213,143,9,204,21,204,3,372,368,411,166,"Agriculture, Forestry and Fishing",0,7,1
10302,Lachlan Valley,2015,Outer Regional Australia,New South Wales,-33.32604413,147.4703246,57152,21,3.7,54,9.4,NA,NA,NA,2424,28409,316,364,2835,2374,8871,11984,192,253,92,3005,46,581,39,29,211,141,6,191,24,214,3,368,363,416,165,"Agriculture, Forestry and Fishing",0,7,1
10303,Lithgow - Mudgee,2009,Inner Regional Australia,New South Wales,-32.73348404,149.8434454,44438,12,2.7,45,10.1,392,88.2,26261563,NA,NA,341,364,2335,2031,8159,10039,130,206,78,1249,45,551,31,6,109,131,24,155,32,213,21,253,285,241,89,"Agriculture, Forestry and Fishing",0,3,0
10303,Lithgow - Mudgee,2010,Inner Regional Australia,New South Wales,-32.73348404,149.8434454,44927,13,2.9,26,5.8,457,101.7,41888426,1336,22899,341,364,2335,2031,8159,10039,130,202,86,1275,38,550,28,9,124,119,15,135,34,226,12,245,294,231,93,"Agriculture, Forestry and Fishing",0,3,0
10303,Lithgow - Mudgee,2011,Inner Regional Australia,New South Wales,-32.73348404,149.8434454,45360,17,3.7,26,5.7,414,91.3,14156529,1205,21316,341,364,2335,2031,8159,10039,130,213,85,1264,40,561,41,6,119,127,9,154,42,221,15,249,290,232,87,"Agriculture, Forestry and Fishing",0,3,0
10303,Lithgow - Mudgee,2012,Inner Regional Australia,New South Wales,-32.73348404,149.8434454,46054,15,3.3,32,6.9,451,97.9,49157519,1869,21181,341,364,2335,2031,8159,10039,130,205,99,1239,33,569,38,3,122,134,18,152,40,211,6,248,292,248,95,"Agriculture, Forestry and Fishing",0,3,0
10303,Lithgow - Mudgee,2013,Inner Regional Australia,New South Wales,-32.73348404,149.8434454,46431,8,1.7,68,14.6,370,79.7,292223,1836,22704,341,364,2335,2031,8159,10039,130,200,90,1232,35,563,35,9,131,140,12,157,45,218,13,254,267,225,95,"Agriculture, Forestry and Fishing",0,3,0
10303,Lithgow - Mudgee,2014,Inner Regional Australia,New South Wales,-32.73348404,149.8434454,46719,11,2.4,53,11.3,396,84.8,788947,1733,22412,341,364,2335,2031,8159,10039,130,203,89,1249,35,585,34,6,128,140,9,158,39,218,9,248,271,222,96,"Agriculture, Forestry and Fishing",0,3,0
10303,Lithgow - Mudgee,2015,Inner Regional Australia,New South Wales,-32.73348404,149.8434454,47090,15,3.2,66,14.0,NA,NA,NA,2159,23096,341,364,2335,2031,8159,10039,130,207,87,1196,31,581,39,9,134,138,9,162,38,227,9,242,253,205,85,"Agriculture, Forestry and Fishing",0,3,0
10304,Orange,2009,Inner Regional Australia,New South Wales,-33.27061993,148.9318617,54493,24,4.4,88,16.1,499,91.6,8539967,NA,NA,864,544,4333,3174,9360,15399,246,178,133,1290,45,708,38,12,205,202,15,200,25,323,3,328,317,297,144,"Agriculture, Forestry and Fishing",1,3,0
10304,Orange,2010,Inner Regional Australia,New South Wales,-33.27061993,148.9318617,55353,18,3.3,60,10.8,604,109.1,5434486,1264,30653,864,544,4333,3174,9360,15399,246,188,139,1312,44,736,34,15,217,209,18,203,25,328,6,356,325,280,126,"Agriculture, Forestry and Fishing",1,3,0
10304,Orange,2011,Inner Regional Australia,New South Wales,-33.27061993,148.9318617,56318,15,2.7,75,13.3,593,105.3,5384034,1014,28786,864,544,4333,3174,9360,15399,246,199,133,1341,44,762,44,13,220,234,20,193,24,360,9,366,318,281,142,"Agriculture, Forestry and Fishing",1,3,0
10304,Orange,2012,Inner Regional Australia,New South Wales,-33.27061993,148.9318617,57290,20,3.5,66,11.5,523,91.3,7175778,1402,28677,864,544,4333,3174,9360,15399,246,201,132,1310,43,753,52,9,230,233,15,192,24,354,9,371,300,270,146,"Agriculture, Forestry and Fishing",1,3,0
10304,Orange,2013,Inner Regional Australia,New South Wales,-33.27061993,148.9318617,58125,8,1.4,77,13.2,470,80.9,6589811,1619,30898,864,544,4333,3174,9360,15399,246,189,122,1296,34,754,37,12,236,253,13,182,24,357,9,361,296,261,137,"Agriculture, Forestry and Fishing",1,3,0
10304,Orange,2014,Inner Regional Australia,New South Wales,-33.27061993,148.9318617,58854,11,1.9,80,13.6,599,101.8,9706608,1555,30672,864,544,4333,3174,9360,15399,246,201,125,1325,43,765,36,6,262,292,12,189,25,356,9,377,293,264,143,"Agriculture, Forestry and Fishing",1,3,0
10304,Orange,2015,Inner Regional Australia,New South Wales,-33.27061993,148.9318617,59347,11,1.9,54,9.1,NA,NA,NA,1887,31660,864,544,4333,3174,9360,15399,246,203,138,1296,40,788,35,10,288,296,12,195,30,376,9,386,291,255,141,"Agriculture, Forestry and Fishing",1,3,0
10401,Clarence Valley,2009,Inner Regional Australia,New South Wales,-29.61894725,152.7806855,49991,10,2.0,27,5.4,449,89.8,2672108,NA,NA,398,405,2591,2314,9256,10962,133,205,97,1064,58,691,33,9,141,146,13,193,17,219,3,293,341,215,86,"Agriculture, Forestry and Fishing",0,3,0
10401,Clarence Valley,2010,Inner Regional Australia,New South Wales,-29.61894725,152.7806855,50573,6,1.2,15,3.0,482,95.3,3980097,944,20811,398,405,2591,2314,9256,10962,133,197,102,1063,55,669,42,6,160,149,12,181,18,225,7,320,329,200,78,"Agriculture, Forestry and Fishing",0,3,0
10401,Clarence Valley,2011,Inner Regional Australia,New South Wales,-29.61894725,152.7806855,50847,11,2.2,18,3.5,413,81.2,2953999,1322,21726,398,405,2591,2314,9256,10962,133,196,114,1051,64,678,39,12,164,157,17,192,11,220,9,322,327,206,88,"Agriculture, Forestry and Fishing",0,3,0
10401,Clarence Valley,2012,Inner Regional Australia,New South Wales,-29.61894725,152.7806855,50893,16,3.1,21,4.1,391,76.8,4820101,1716,22458,398,405,2591,2314,9256,10962,133,196,101,991,57,648,29,6,175,166,12,170,18,218,15,305,331,196,76,"Agriculture, Forestry and Fishing",0,3,0
10401,Clarence Valley,2013,Inner Regional Australia,New South Wales,-29.61894725,152.7806855,50593,7,1.4,14,2.8,334,66.0,3606061,1472,22046,398,405,2591,2314,9256,10962,133,196,92,991,57,613,29,9,181,166,15,174,16,203,6,309,305,201,73,"Agriculture, Forestry and Fishing",0,3,0
10401,Clarence Valley,2014,Inner Regional Australia,New South Wales,-29.61894725,152.7806855,50548,5,1.0,22,4.4,361,71.4,4758172,1887,22662,398,405,2591,2314,9256,10962,133,198,83,1000,59,583,37,9,180,177,19,173,12,193,6,299,295,191,71,"Agriculture, Forestry and Fishing",0,3,0
10401,Clarence Valley,2015,Inner Regional Australia,New South Wales,-29.61894725,152.7806855,50613,3,0.6,18,3.6,NA,NA,NA,1558,23416,398,405,2591,2314,9256,10962,133,202,81,971,60,557,32,9,185,175,18,180,12,201,6,293,286,183,70,"Agriculture, Forestry and Fishing",0,3,0
10402,Coffs Harbour,2009,Inner Regional Australia,New South Wales,-30.27335968,152.7580898,82637,28,3.4,81,9.8,827,100.1,15572686,NA,NA,1149,889,6600,5071,15033,23546,281,369,241,963,118,1304,80,9,388,348,53,281,15,584,33,586,550,321,187,Construction,1,2,1
10402,Coffs Harbour,2010,Inner Regional Australia,New South Wales,-30.27335968,152.7580898,83684,31,3.7,68,8.1,934,111.6,10722881,1535,38973,1149,889,6600,5071,15033,23546,281,378,267,979,112,1317,76,21,422,373,46,303,3,592,21,568,528,320,193,Construction,1,2,1
10402,Coffs Harbour,2011,Inner Regional Australia,New South Wales,-30.27335968,152.7580898,84335,21,2.5,85,10.1,827,98.1,7789106,2226,40710,1149,889,6600,5071,15033,23546,281,375,229,974,109,1302,73,9,422,396,46,315,12,618,21,601,526,322,197,Construction,1,2,1
10402,Coffs Harbour,2012,Inner Regional Australia,New South Wales,-30.27335968,152.7580898,84383,23,2.7,69,8.2,796,94.3,8929518,2775,41971,1149,889,6600,5071,15033,23546,281,369,233,938,91,1272,84,12,410,392,50,297,6,603,12,591,505,315,182,Construction,1,2,1
10402,Coffs Harbour,2013,Inner Regional Australia,New South Wales,-30.27335968,152.7580898,85042,19,2.2,88,10.3,657,77.3,4456503,2257,41684,1149,889,6600,5071,15033,23546,281,370,220,938,89,1211,73,12,414,405,51,291,18,569,18,610,475,299,181,Construction,1,2,1
10402,Coffs Harbour,2014,Inner Regional Australia,New South Wales,-30.27335968,152.7580898,85688,14,1.6,74,8.6,771,90.0,5525071,2780,43124,1149,889,6600,5071,15033,23546,281,372,227,917,82,1207,86,12,422,450,50,278,18,571,18,618,474,297,179,Construction,1,2,1
10402,Coffs Harbour,2015,Inner Regional Australia,New South Wales,-30.27335968,152.7580898,86409,12,1.4,73,8.4,NA,NA,NA,2468,44647,1149,889,6600,5071,15033,23546,281,366,222,891,89,1199,78,18,440,465,53,272,18,566,12,599,468,303,167,Construction,1,2,1
10501,Bourke - Cobar - Coonamble,2009,Remote Australia,New South Wales,-30.7258921,146.4140878,26665,5,1.9,8,3.0,333,124.9,9064357,NA,NA,143,131,1300,910,3437,5526,145,112,50,1600,24,257,15,11,65,51,3,68,100,73,3,144,187,161,67,"Agriculture, Forestry and Fishing",0,8,1
10501,Bourke - Cobar - Coonamble,2010,Remote Australia,New South Wales,-30.7258921,146.4140878,26686,4,1.5,7,2.6,309,115.8,10422259,1200,12439,143,131,1300,910,3437,5526,145,141,38,1594,22,232,27,15,67,31,6,57,88,77,3,162,186,158,57,"Agriculture, Forestry and Fishing",0,8,1
10501,Bourke - Cobar - Coonamble,2011,Remote Australia,New South Wales,-30.7258921,146.4140878,26498,4,1.5,9,3.4,310,117.0,7297000,827,12635,143,131,1300,910,3437,5526,145,129,57,1638,10,248,15,12,73,49,3,44,84,86,3,163,172,151,63,"Agriculture, Forestry and Fishing",0,8,1
10501,Bourke - Cobar - Coonamble,2012,Remote Australia,New South Wales,-30.7258921,146.4140878,26590,3,1.1,10,3.8,318,119.6,4535732,718,12999,143,131,1300,910,3437,5526,145,131,50,1604,12,262,12,20,85,60,3,49,88,88,,176,184,155,57,"Agriculture, Forestry and Fishing",0,8,1
10501,Bourke - Cobar - Coonamble,2013,Remote Australia,New South Wales,-30.7258921,146.4140878,26664,4,1.5,3,1.1,284,106.5,2431463,938,11837,143,131,1300,910,3437,5526,145,113,53,1631,9,243,15,19,88,52,9,54,73,84,3,172,175,158,53,"Agriculture, Forestry and Fishing",0,8,1
10501,Bourke - Cobar - Coonamble,2014,Remote Australia,New South Wales,-30.7258921,146.4140878,26758,4,1.5,10,3.7,344,128.6,2469184,945,12771,143,131,1300,910,3437,5526,145,128,51,1694,9,241,18,21,88,57,12,49,72,86,,179,172,158,48,"Agriculture, Forestry and Fishing",0,8,1
